Year Assigned,Month Assigned,Assignment Type,Structure Number,Structure Type,Parallel Structure,County,Division,Structure Length,Deck Width,Deck Condition,Superstructure Condition,Substructure Condition,Culvert Condition,Year Built,Year Reconstructed,Latitude,Longitude,Google Maps Url,Superstructure,Substructure,Feature Carried,Feature Intersected
2026,5,"State","120002","BRIDGE","","CABARRUS",10,56.3,11.6,7,8,7,,2010,,35.40788806,-80.67459275,"http://maps.google.com/maps?q=35.4078880622589,-80.6745927514017&z=20&ll=35.4078880622589,-80.6745927514017&t=k","RC DECK ON PRECAST PRESTRESSED CONCRETE GIRDERS (CONTINUOUS), SIP FORMS, APPROACH SLABS","END BENTS:RC INTEGRAL CAPS & STEEL PILES, INTERIOR BENTS:RC CAPS ON DRILLED PIERS","SR1394","CODDLE CREEK"
2026,5,"State","120021","BRIDGE","","CABARRUS",10,44.8,11.7,6,6,5,,1968,,35.22806517,-80.50877588,"http://maps.google.com/maps?q=35.2280651718072,-80.5087758761963&z=20&ll=35.2280651718072,-80.5087758761963&t=k","REINFORCED CONCRETE DECK ON I-BEAMS","END & INTERIOR BENTS: RC CAPS ON STEEL PILES","US601","CAROLINA & N.WESTERN RR"
2026,5,"State","120036","BRIDGE","R","CABARRUS",10,39.6,12,7,8,7,,2022,,35.48777577,-80.65308731,"http://maps.google.com/maps?q=35.487775766118,-80.6530873064088&z=20&ll=35.487775766118,-80.6530873064088&t=k","RC DECK ON STANDARD AASHTO TYPE III  PPC GIRDERS, SIP FORMS, APPROACH SLABS","E.BTS: RC CAPS/H-PILES@9'-1""; INT.BTS. RC CAPS/RC DRILLED SHAFT PIER","NC3 EBL","IRISH BUFFALO CREEK"
2026,5,"State","120075","BRIDGE","","CABARRUS",10,64,10.1,6,6,5,,1928,1955,35.34499683,-80.52795317,"http://maps.google.com/maps?q=35.3449968325934,-80.5279531679129&z=20&ll=35.3449968325934,-80.5279531679129&t=k","REINFORCED CONCRETE DECK GIRDERS","ABUTS:RC SPILL THRU WIDENED/W RC CAP&STL.PILES,INT.BTS:RCP&W","US601","COLD WATER CREEK"
2026,5,"State","120114","BRIDGE","","CABARRUS",10,59.4,10.1,5,6,5,,1964,,35.38458654,-80.58860038,"http://maps.google.com/maps?q=35.3845865366325,-80.588600375133&z=20&ll=35.3845865366325,-80.588600375133&t=k","REINFORCED CONCRETE DECK ON I-BEAMS","END BENTS:RC CAP ON PPC PILES, INTERIOR BENTS:RC POST & BEAM","US601","SOUTHERN RAILROAD"
2026,5,"State","120179","BRIDGE","","CABARRUS",10,100.8,8.7,6,7,6,,1961,,35.31654658,-80.59532461,"http://maps.google.com/maps?q=35.3165465821848,-80.5953246125135&z=20&ll=35.3165465821848,-80.5953246125135&t=k","REINFORCED CONCRETE DECK ON PRECAST PRESTRESSED CONCRETE GIRDERS","END BENTS:RC CAPS ON PPC PILES, INT.BENTS:RC POST & BEAM","SR1139","ROCKY RIVER"
2026,5,"State","120341","BRIDGE","L","CABARRUS",10,162.7,11.2,7,7,7,,1994,,35.25504705,-80.47308408,"http://maps.google.com/maps?q=35.2550470496299,-80.4730840796858&z=20&ll=35.2550470496299,-80.4730840796858&t=k","RC DECK ON PPC GIRDERS (CONTINUOUS), PPC DECK PANELS, APPROACH SLABS","EBT#1:RC CAP & STEEL PILES, EBT#2:RC CAP & SPR.FTGS, INTBTS:RC POST & BEAM, BT#1,2,3&4 ON PILE FTGS.","NC24 & NC27 WBL","ROCKY RIVER"
2026,5,"State","790137","BRIDGE","L","ROWAN",9,872.6,22.9,7,7,7,,2013,,35.71970084,-80.38961287,"http://maps.google.com/maps?q=35.7197008418271,-80.3896128744712&z=20&ll=35.7197008418271,-80.3896128744712&t=k","RC DECK ON MAIN:PPC MODIFIED BULB TEES, APPROACH:PLATE GIRDERS, SIP FORMS","E.BTS:RC CAP & STEEL PILES, EBT#2 W/MSE WALL, BT#1-17:RC DRILLED PIERS, BT#18-20:RCP&B, PILE FTGS.","I85 SBL","YADKIN RIVER & NSRR"
2026,5,"State","790158","BRIDGE","","ROWAN",9,49.9,10.1,7,8,7,,1997,,35.56448147,-80.36520713,"http://maps.google.com/maps?q=35.5644814681641,-80.3652071273707&z=20&ll=35.5644814681641,-80.3652071273707&t=k","RC DECK ON PPC GIRDERS (CONT.), SIP FORMS, APPROACH SLABS","END BENTS:RC CAP & STEEL PILES, INT.BENTS:RC DRILLED PIERS","SR2370","SECOND CREEK"
2026,5,"State","790213","BRIDGE","","ROWAN",9,17.3,8.2,7,7,7,,2008,,35.63204174,-80.58854569,"http://maps.google.com/maps?q=35.6320417371036,-80.5885456928243&z=20&ll=35.6320417371036,-80.5885456928243&t=k","PRECAST PRESTRESSED CONCRETE CORED SLAB (BMD 29-24-75)","END BENTS: RC ON SPREAD FOOTINGS","SR1509","LITTLE CREEK"
2026,5,"State","790241","CULVERT","","ROWAN",9,12.1,,,,,7,1996,,35.54025733,-80.64198684,"http://maps.google.com/maps?q=35.5402573257362,-80.641986840929&z=20&ll=35.5402573257362,-80.641986840929&t=k","TRIPLE 12'X12' RC BOX CULVERT; 70' ALONG CENTERLINE CULVERT","EXTERIOR & INTERIOR WALLS:8"", TOP SLAB:10"", BOTTOM SLAB:1'0 5/8""","SR1197","IRISH BUFFALO CREEK"
2026,5,"State","790248","CULVERT","","ROWAN",9,10.6,,,,,9,2024,,35.56429976,-80.60135928,"http://maps.google.com/maps?q=35.5642997581225,-80.6013592814979&z=20&ll=35.5642997581225,-80.6013592814979&t=k","","","SR1211","GRANTS CREEK"
2026,5,"State","790465","BRIDGE","R","ROWAN",9,885.1,22.9,7,7,7,,2012,,35.71949826,-80.38929931,"http://maps.google.com/maps?q=35.7194982588139,-80.3892993116978&z=20&ll=35.7194982588139,-80.3892993116978&t=k","RC DECK ON MAIN:PRESTRESSED CONCRETE BULB TEES(CONT), MAIN:PLATE GIRDERS, SIP FORMS, APPROACH SLABS","EBTS:RC CAP & STL.PILES,EBT#2 W/MSE WALL,INTBT#1-18:RC CAP & DRILLED PIERS,BT#19&20:RCP&B,PILE FTGS.","I85 NBL","YADKIN RIVER, N.S.R.R."
2026,5,"State","830033","BRIDGE","","STANLY",10,61.8,13.7,7,7,7,,2010,,35.35950365,-80.23743317,"http://maps.google.com/maps?q=35.3595036515853,-80.2374331719916&z=20&ll=35.3595036515853,-80.2374331719916&t=k","PRESTRESSED CONCRETE BOX BEAMS, APPROACH SLABS","END BENTS:RC CAPS & STEEL PILES, INTERIOR BENTS:RC CAPS ON DRILLED PIERS","NC73","LONG CREEK"
2026,5,"State","830038","BRIDGE","","STANLY",10,12.8,7.6,7,7,5,,1948,1990,35.40755069,-80.22433795,"http://maps.google.com/maps?q=35.4075506933387,-80.2243379501367&z=20&ll=35.4075506933387,-80.2243379501367&t=k","STEEL PLANK DECK ON I-BEAMS","ABUTMENTS:MASS CONCRETE","SR1214","TOWN CREEK"
2026,5,"State","830208","BRIDGE","","STANLY",10,148.1,7.3,6,5,6,,1957,,35.16269079,-80.43783104,"http://maps.google.com/maps?q=35.162690793662,-80.4378310443977&z=20&ll=35.162690793662,-80.4378310443977&t=k","REINFORCED CONCRETE DECK ON I-BEAMS","END BENTS:RC CAPS & STEEL PILES,INT.BENTS:RCP&B W/STRUTS","SR1001","ROCKY RIVER"
2026,5,"State","830246","BRIDGE","","STANLY",10,21.3,4.4,8,8,6,,1982,2017,35.32188164,-80.32889393,"http://maps.google.com/maps?q=35.3218816355944,-80.3288939304339&z=20&ll=35.3218816355944,-80.3288939304339&t=k","TIMBER DECK ON I-BEAMS (LOW WATER TYPE)","E.BTS & INT.BTS:MASS CONCRETE","SR1225","BIG BEAR CREEK"
2026,5,"State","890540","BRIDGE","","UNION",10,40.2,38.9,7,7,8,,2018,,35.10133036,-80.67934829,"http://maps.google.com/maps?q=35.1013303624907,-80.6793482862321&z=20&ll=35.1013303624907,-80.6793482862321&t=k","RC DECK ON PRESTRESSED CONCRETE MOD. BULB TEE GIRDERS SIP FORMS, APPROACH SLAB","REINFORCED CONCRETE INTEGRAL END BENTS","US74 BYP","SR3909"
2026,5,"State","890541","BRIDGE","","UNION",10,68.5,37.1,7,8,9,,2018,,35.09769107,-80.6754664,"http://maps.google.com/maps?q=35.0976910730014,-80.6754663998427&z=20&ll=35.0976910730014,-80.6754663998427&t=k","RC DECK ON PPC MOD. BULB TEE GIRDERS (CONT.FOR LIVE LOAD), APP. SLABS","","US74 BYP","SR1365"
