Structure Number,Month Assigned,Year Assigned,Assignment Type
170370,1,2026,State
170371,1,2026,State
540120,1,2026,State
540121,1,2026,State
540125,1,2026,State
540126,1,2026,State
540133,1,2026,State
540134,1,2026,State
540139,1,2026,State
540154,1,2026,State
540155,1,2026,State
540236,1,2026,State
540250,1,2026,State
540251,1,2026,State
540252,1,2026,State
540255,1,2026,State
540261,1,2026,State
540262,1,2026,State
540263,1,2026,State
540273,1,2026,State
540274,1,2026,State
540275,1,2026,State
540290,1,2026,State
540291,1,2026,State
170038,1,2026,Municipal
170180,1,2026,Municipal
170181,1,2026,Municipal
170182,1,2026,Municipal
170291,1,2026,Municipal
170306,1,2026,Municipal
170327,1,2026,Municipal
170328,1,2026,Municipal
170363,1,2026,Municipal
170377,1,2026,Municipal
170378,1,2026,Municipal
170379,1,2026,Municipal
170381,1,2026,Municipal
010003,2,2026,State
480001,2,2026,State
480003,2,2026,State
480015,2,2026,State
480020,2,2026,State
480022,2,2026,State
480056,2,2026,State
480057,2,2026,State
480059,2,2026,State
480062,2,2026,State
480075,2,2026,State
480076,2,2026,State
480080,2,2026,State
480089,2,2026,State
480092,2,2026,State
480097,2,2026,State
480098,2,2026,State
480110,2,2026,State
480126,2,2026,State
480314,2,2026,State
480473,2,2026,State
480504,2,2026,State
480513,2,2026,State
480515,2,2026,State
480536,2,2026,State
480548,2,2026,State
180009,3,2026,State
180024,3,2026,State
180026,3,2026,State
180035,3,2026,State
180041,3,2026,State
180055,3,2026,State
180067,3,2026,State
180257,3,2026,State
180341,3,2026,State
180405,3,2026,State
180431,3,2026,State
180483,3,2026,State
180506,3,2026,State
180507,3,2026,State
670027,3,2026,State
670034,3,2026,State
670037,3,2026,State
670048,3,2026,State
670055,3,2026,State
670057,3,2026,State
670069,3,2026,State
670130,3,2026,State
670285,3,2026,State
100100,4,2026,State
100106,4,2026,State
100253,4,2026,State
100505,4,2026,State
100547,4,2026,State
100897,4,2026,State
430178,4,2026,State
430235,4,2026,State
440357,4,2026,State
440358,4,2026,State
580028,4,2026,State
580029,4,2026,State
580035,4,2026,State
580036,4,2026,State
580038,4,2026,State
580041,4,2026,State
580049,4,2026,State
580057,4,2026,State
580060,4,2026,State
580065,4,2026,State
580076,4,2026,State
580138,4,2026,State
580139,4,2026,State
580143,4,2026,State
580144,4,2026,State
580145,4,2026,State
580146,4,2026,State
580149,4,2026,State
600063,4,2026,State
600112,4,2026,State
600156,4,2026,State
870086,4,2026,State
870106,4,2026,State
870137,4,2026,State
990035,4,2026,State
990054,4,2026,State
990130,4,2026,State
800129,4,2026,Municipal
800130,4,2026,Municipal
800131,4,2026,Municipal
870102,4,2026,Municipal
870208,4,2026,Municipal
120002,5,2026,State
120021,5,2026,State
120036,5,2026,State
120075,5,2026,State
120114,5,2026,State
120179,5,2026,State
120341,5,2026,State
790137,5,2026,State
790158,5,2026,State
790213,5,2026,State
790241,5,2026,State
790248,5,2026,State
790465,5,2026,State
830033,5,2026,State
830038,5,2026,State
830208,5,2026,State
830246,5,2026,State
890540,5,2026,State
890541,5,2026,State
