Federal County Code,State County Code,County Name
001,000,ALAMANCE
003,010,ALEXANDER
005,020,ALLEGHANY
007,030,ANSON
009,040,ASHE
011,050,AVERY
013,060,BEAUFORT
015,070,BERTIE
017,080,BLADEN
019,090,BRUNSWICK
021,100,BUNCOMBE
023,110,BURKE
025,120,CABARRUS
027,130,CALDWELL
029,140,CAMDEN
031,150,CARTERET
033,160,CASWELL
035,170,CATAWBA
037,180,CHATHAM
039,190,CHEROKEE
041,200,CHOWAN
043,210,CLAY
045,220,CLEVELAND
047,230,COLUMBUS
049,240,CRAVEN
051,250,CUMBERLAND
053,260,CURRITUCK
055,270,DARE
057,280,DAVIDSON
059,290,DAVIE
061,300,DUPLIN
063,310,DURHAM
065,320,EDGECOMBE
067,330,FORSYTH
069,340,FRANKLIN
071,350,GASTON
073,360,GATES
075,370,GRAHAM
077,380,GRANVILLE
079,390,GREENE
081,400,GUILFORD
083,410,HALIFAX
085,420,HARNETT
087,430,HAYWOOD
089,440,HENDERSON
091,450,HERTFORD
093,460,HOKE
095,470,HYDE
097,480,IREDELL
099,490,JACKSON
101,500,JOHNSTON
103,510,JONES
105,520,LEE
107,530,LENOIR
109,540,LINCOLN
111,550,MACON
113,560,MADISON
115,570,MARTIN
117,580,MCDOWELL
119,590,MECKLENBURG
121,600,MITCHELL
123,610,MONTGOMERY
125,620,MOORE
127,630,NASH
129,640,NEW HANOVER
131,650,NORTHAMPTON
133,660,ONSLOW
135,670,ORANGE
137,680,PAMLICO
139,690,PASQUOTANK
141,700,PENDER
143,710,PERQUIMANS
145,720,PERSON
147,730,PITT
149,740,POLK
151,750,RANDOLPH
153,760,RICHMOND
155,770,ROBESON
157,780,ROCKINGHAM
159,790,ROWAN
161,800,RUTHERFORD
163,810,SAMPSON
165,820,SCOTLAND
167,830,STANLY
169,840,STOKES
171,850,SURRY
173,860,SWAIN
175,870,TRANSYLVANIA
177,880,TYRRELL
179,890,UNION
181,900,VANCE
183,910,WAKE
185,920,WARREN
187,930,WASHINGTON
189,940,WATAUGA
191,950,WAYNE
193,960,WILKES
195,970,WILSON
197,980,YADKIN
199,990,YANCEY
