X,Y,OBJECTID,BRDG_NBR,FTR_INTRSC,F_CARRIED,BRDG_TYP_NM,COUNTY,ROUTE,RD_ANGLE,STR_ANGLE,RTE_ID,X_COORD,Y_COORD,LONG_DD,LAT_DD,BSIP_BRDG_NBR,DIVISION,FUNC_CLASS,FUNC_OBSOL,DETOUR_LEN,STRTYPMAIN,SUPERSTRUC,SUBSTRUCTU,POSTED_SV,POSTED_TTST,SERVICEON,MP,GOOGLE_LINK,MAINT_RESP,SERVICEUNDER,AADT,AADT_YR
1919882.14424773,763020.593573228,22961,000004,LICK CREEK,NC87,CULVERT,ALAMANCE,30000087,106.19,16.19,30000087001,1919882.14424773,763020.59357323,-79.27033677,35.84619507,0010004,7,"Minor Arterial, Rural",N,8,219,"TOP SLAB:21"", INTERIOR WALLS:8""","TRIPLE 7'X10' RC BOX CULVERT, 48'-10"" ALONG CENTERLINE OF CULVERT",99,99,1,0.15365289,"http://maps.google.com/maps?q=35.8461950717396,-79.2703367742911&z=20&ll=35.8461950717396,-79.2703367742911&t=k",01,5,3300,2022
1864957.38861188,849671.683065981,22962,000005,LITTLE ALAMANCE CREEK,"US70, NC62",CULVERT,ALAMANCE,20000070,19.97,109.97,20000070001,1864957.38861188,849671.68306598,-79.45700995,36.08368156,0010005,7,"Other Principal Arterial, Urban",N,1,219,"INTERIOR WALLS THICKNESS:10""","TRIPLE 8'X12' RC BOX CULVERT; 116'6"" ALONG CENTERLINE OF CULVERT",99,99,1,4.59730343,"http://maps.google.com/maps?q=36.0836815589156,-79.4570099545776&z=20&ll=36.0836815589156,-79.4570099545776&t=k",01,5,28500,2022
1868606.76582755,846502.186124146,22965,000008,LITTLE ALAMANCE CREEK,NC54,CULVERT,ALAMANCE,30000054,333.8,243.8,30000054001,1868606.76582755,846502.18612415,-79.44461189,36.07502059,0010008,7,"Minor Arterial, Urban",N,3,219,NULL,"QUADRUPLE 8'X12' RC BOX CULVERT; 42'10"" ALONG CENTERLINE OF CULVERT",99,99,1,1.066975,"http://maps.google.com/maps?q=36.0750205866973,-79.4446118935374&z=20&ll=36.0750205866973,-79.4446118935374&t=k",01,5,12000,2022
1902196.98112731,794833.198583066,22975,000020,MARY'S CREEK,NC87,CULVERT,ALAMANCE,30000087,130.87,40.87,30000087001,1902196.98112731,794833.19858307,-79.33036757,35.93344315,0010020,7,"Minor Arterial, Rural",N,1,219,NULL,"QUADRUPLE 8'X9' RCBC, 58'6"" ALONG CENTERLINE OF CULVERT",99,99,1,7.13750292,"http://maps.google.com/maps?q=35.9334431494671,-79.3303675683638&z=20&ll=35.9334431494671,-79.3303675683638&t=k",01,5,4500,2022
1892198.28294888,802724.733652979,22976,000021,VARNALS CREEK,NC87,CULVERT,ALAMANCE,30000087,142.1,52.1,30000087001,1892198.28294888,802724.73365298,-79.36423956,35.95502608,0010021,7,"Minor Arterial, Rural",N,1,219,NULL,"DOUBLE 8'X8' RC BOX CULVERT; 72'0"" ALONG CENTERLINE OF CULVERT",99,99,1,9.5520098,"http://maps.google.com/maps?q=35.9550260813151,-79.3642395610539&z=20&ll=35.9550260813151,-79.3642395610539&t=k",01,5,5500,2022
1885863.50887306,812941.77850756,22980,000025,VARNALS CREEK,NC87,CULVERT,ALAMANCE,30000087,128.34,38.34,30000087001,1885863.50887306,812941.77850756,-79.38577739,35.98302754,0010025,7,"Minor Arterial, Rural",N,2,219,NULL,"QUADRUPLE 8'X12' RC BOX CULVERT; 46'7"" ALONG CENTERLINE OF CULVERT",99,99,1,11.87911264,"http://maps.google.com/maps?q=35.9830275417391,-79.3857773876862&z=20&ll=35.9830275417391,-79.3857773876862&t=k",01,5,10500,2022
1889421.42695406,892603.652648062,22999,000046,OWENS CREEK,SR1002,CULVERT,ALAMANCE,40001002,105,15,40001002001,1889421.42695406,892603.65264806,-79.37476836,36.20189267,0010046,7,"Minor Collector, Rural",N,3,219,"INT. & EXT. WALLS:8"", TOP & BOTTOM SLABS:8 1/2""","QUADRUPLE 10'X7' RC BOX CULVERT; 49'11"" ALONG CENTERLINE OF CULVERT",99,99,1,3.10449847,"http://maps.google.com/maps?q=36.2018926710088,-79.3747683580913&z=20&ll=36.2018926710088,-79.3747683580913&t=k",01,5,1000,2022
1881186.90438114,859068.70659472,23001,000048,SERVICE CREEK,SR1716,CULVERT,ALAMANCE,40001716,285.87,195.87,40001716001,1881186.90438114,859068.70659472,-79.40221567,36.10968763,0010048,7,"Major Collector, Rural",N,2,219,"EXTERIOR & INTERIOR WALLS:8"", TOP SLAB:10 1/2"", BOTTOM SLAB:11 1/2""","TRIPLE 12'X9' RCBC, 67'10"" ALONG CENTERLINE OF CULVERT",99,99,1,0.80658415,"http://maps.google.com/maps?q=36.1096876280211,-79.4022156702525&z=20&ll=36.1096876280211,-79.4022156702525&t=k",01,5,5300,2022
1878411.25737339,861317.205378562,23002,000049,SERVICE CREEK,SR1700,CULVERT,ALAMANCE,40001700,242.6,152.6,40001700001,1878411.25737339,861317.20537856,-79.41164347,36.11583285,0010049,7,"Major Collector, Rural",N,2,219,"EXTERIOR & INTERIOR WALLS:8"", TOP & BOTTOM SLABS:9 1/2""","TRIPLE 9'X9' RC BOX CULVERT; 62'0"" ALONG CENTERLINE OF CULVERT",99,99,1,0.64268817,"http://maps.google.com/maps?q=36.115832845051,-79.4116434712599&z=20&ll=36.115832845051,-79.4116434712599&t=k",01,5,1900,2022
1888636.49479689,857335.133946389,23005,000053,BOYDS CREEK,SR1737,CULVERT,ALAMANCE,40001737,145.21,55.21,40001737001,1888636.49479689,857335.13394639,-79.37697468,36.10500592,0010053,7,"Collector, Urban",N,4,219,"INTERIOR & EXTERIOR WALLS:8"", TOP SLAB:10"", BOTTOM SLAB:11 1/2""","TRIPLE 10'X10' RC BOX CULVERT, 87'5"" ALONG CENTERLINE OF CULVERT",99,99,1,1.01636301,"http://maps.google.com/maps?q=36.105005920271,-79.3769746815101&z=20&ll=36.105005920271,-79.3769746815101&t=k",01,5,2300,2022
1903325.72198005,811867.774421975,23035,000085,MEADOW CREEK,SR2158,CULVERT,ALAMANCE,40002158,110.15,20.15,40002158001,1903325.72198005,811867.77442198,-79.32674423,35.98024932,0010085,7,"Major Collector, Rural",N,4,619,NULL,"PRECAST RC THREE-SIDED BOX CULVERT; 60'-0"" ALONG CENTERLINE OF CULVERT",99,99,1,2.41510486,"http://maps.google.com/maps?q=35.98024931805,-79.3267442299263&z=20&ll=35.98024931805,-79.3267442299263&t=k",01,5,2800,2022
1917787.51261023,876648.162249401,23037,000087,STAGG CREEK,NC119,CULVERT,ALAMANCE,30000119,110,20,30000119001,1917787.51261023,876648.1622494,-79.27848008,36.15832157,0010087,7,"Major Collector, Rural",N,3,219,NULL,"QUADRUPLE 11' X 15' RCBC, 36'0"" ALONG CENTERLINE OF CULVERT",99,99,1,10.88983792,"http://maps.google.com/maps?q=36.1583215690704,-79.2784800828256&z=20&ll=36.1583215690704,-79.2784800828256&t=k",01,5,2800,2022
1907221.72337438,817329.107331306,23039,000090,MEADOW CREEK,SR2151,CULVERT,ALAMANCE,40002151,301.63,211.63,40002151001,1907221.72337438,817329.10733131,-79.31363475,35.99528656,0010090,7,"Local, Rural",N,1,119,NULL,"SINGLE 29'X8' PRECAST CONCRETE BOX CULV;40' ALONG CENTERLINE OF CULVERT",99,99,1,1.18971367,"http://maps.google.com/maps?q=35.9952865630324,-79.3136347502674&z=20&ll=35.9952865630324,-79.3136347502674&t=k",01,5,300,2022
1902533.94698881,789916.659531638,23048,000099,PRONG MARY'S CREEK,SR2338,CULVERT,ALAMANCE,40002338,260.43,170.43,40002338001,1902533.94698881,789916.65953164,-79.32917427,35.91993978,0010099,7,"Local, Rural",N,3,119,NULL,"SINGLE 40'-0""X10'-0"" PRECAST RC THREE-SIDED CULVERT; 38'-6"" ALONG CTL. OF CULVERT",99,99,1,1.13819418,"http://maps.google.com/maps?q=35.9199397825304,-79.3291742746879&z=20&ll=35.9199397825304,-79.3291742746879&t=k",01,5,800,2022
1901409.00796571,794260.330634311,23049,000100,MARY'S CREEK,SR2338,CULVERT,ALAMANCE,40002338,285,195,40002338001,1901409.00796571,794260.33063431,-79.33302274,35.93186217,0010100,7,"Local, Rural",N,1,519,NULL,"DOUBLE 12'X10' PRECAST CONC.BOX CULVERT,48'9"" ALONG CTRLN. OF CULVERT",99,99,1,0.26152241,"http://maps.google.com/maps?q=35.931862169243,-79.3330227412591&z=20&ll=35.931862169243,-79.3330227412591&t=k",01,5,800,2022
1904935.91593814,904572.336715892,23053,000104,JORDAN CREEK,NC62,CULVERT,ALAMANCE,30000062,91.52,1.52,30000062001,1904935.91593814,904572.33671589,-79.3223194,36.23491797,0010104,7,"Major Collector, Rural",N,3,219,"INTERIOR WALL:10-1/2""","DOUBLE 14'X9' RC BOX CULVERT, 62'1""ALONG CENTERLINE OF CULVERT",99,99,1,23.46149003,"http://maps.google.com/maps?q=36.2349179744592,-79.322319395716&z=20&ll=36.2349179744592,-79.322319395716&t=k",01,5,2200,2022
1853067.8451338,871001.779185221,23058,000110,TRAVIS CREEK,NC87,CULVERT,ALAMANCE,30000087,99.86,9.86,30000087001,1853067.8451338,871001.77918522,-79.49760763,36.14211664,0010110,7,"Minor Arterial, Rural",N,1,219,NULL,"QUADRUPLE 10' X 13' RC BOX CULVERT, 56'8"" ALONG CENTERLINE OF CULVERT",99,99,1,26.19721902,"http://maps.google.com/maps?q=36.1421166431678,-79.4976076269103&z=20&ll=36.1421166431678,-79.4976076269103&t=k",01,5,7600,2022
1910401.42862913,887992.305571556,23067,000123,QUAKER CREEK,NC49,CULVERT,ALAMANCE,30000049,346.88,256.88,30000049001,1910401.42862913,887992.30557156,-79.3036165,36.18942296,0010123,7,"Major Collector, Rural",N,3,219,NULL,"TRIPLE 8'X10' RCBC; 40'9"" ALONG CENTERLINE OF CULVERT",99,99,1,29.39208362,"http://maps.google.com/maps?q=36.1894229588166,-79.3036164955148&z=20&ll=36.1894229588166,-79.3036164955148&t=k",01,5,2900,2022
1877285.60739373,841916.548969984,23073,000129,BOWDEN CREEK,"I40,I85",CULVERT,ALAMANCE,10000040,352.81,262.81,10000040001,1877285.60739373,841916.54896998,-79.41517966,36.06252718,0010129,7,"Principal Arterial - Interstate, Urban",N,0,219,"EXTENSIONS-EXT. & INT.WALLS:8"", TOP SLAB:9 1/2"", BOTTOM SLAB:11""","TRIPLE 7'X8' RC BOX CULVERT, 200'7"" ALONG CENTERLINE OF CULVERT",99,99,1,7.03980762,"http://maps.google.com/maps?q=36.0625271781104,-79.4151796589071&z=20&ll=36.0625271781104,-79.4151796589071&t=k",01,5,126000,2022
1921132.75263889,889168.752365649,23075,000132,STAGG CREEK,NC49,CULVERT,ALAMANCE,30000049,13.47,103.47,30000049001,1921132.75263889,889168.75236565,-79.26726292,36.19273924,0010132,7,"Major Collector, Rural",N,6,219,NULL,"TRIPLE 11'X15' RC BOX CULVERT; 36'3"" ALONG CENTERLINE OF CULVERT",99,99,1,31.47986635,"http://maps.google.com/maps?q=36.1927392381493,-79.2672629200154&z=20&ll=36.1927392381493,-79.2672629200154&t=k",01,5,2800,2022
1881054.16514531,779040.514945388,23078,000135,REEDY BRANCH,SR2356,CULVERT,ALAMANCE,40002356,287,197,40002356001,1881054.16514531,779040.51494539,-79.40156911,35.88984405,0010135,7,"Local, Rural",N,3,119,KNEE WALLS ,"SINGLE 22'X5' PRECAST RC THREE-SIDED CULVERT; 58' ALONG CENTERLINE OF CULVERT",99,99,1,1.47587227,"http://maps.google.com/maps?q=35.8898440533564,-79.4015691098183&z=20&ll=35.8898440533564,-79.4015691098183&t=k",01,5,,
1861549.96465246,796557.346053392,23085,000146,ROCK CREEK,SR2363,CULVERT,ALAMANCE,40002363,337.38,247.38,40002363001,1861549.96465246,796557.34605339,-79.46769431,35.93773076,0010146,7,"Local, Rural",N,2,219,"EXT. WALL: 1'-0""; TOP SLAB; 1'-6""; BOTTOM SLAB: 1'-0""","SINGLE PRECAST RC CULVERT; 42.5' ALONG CENTERLINE OF CULVERT",99,99,1,0.58031529,"http://maps.google.com/maps?q=35.9377307579987,-79.4676943075838&z=20&ll=35.9377307579987,-79.4676943075838&t=k",01,5,1000,2022
1853220.38452689,767088.295411557,23088,000151,GREENBRIER CREEK,SR2307,CULVERT,ALAMANCE,40002307,173.42,83.42,40002307001,1853220.38452689,767088.29541156,-79.49533506,35.85666366,0010151,7,"Local, Rural",N,3,219,NULL,"27' X 6'  THREE SIDED RCBC; 48' ALONG CENTERLINE  OF CULVERT",99,99,1,0.57181506,"http://maps.google.com/maps?q=35.8566636631523,-79.49533506109&z=20&ll=35.8566636631523,-79.49533506109&t=k",01,5,350,2022
1843109.4575703,766858.401186317,23089,000152,N.ROCKY RIVER CREEK,SR2307,CULVERT,ALAMANCE,40002307,140,50,40002307001,1843109.4575703,766858.40118632,-79.5294515,35.85588873,0010152,7,"Local, Rural",N,2,119,NULL,"SINGLE 23'-0"" X 5'-6"" PRECAST CONCRETE CROWNSPAN, 48'-6"" ALONG CENTERLINE OF CULVERT",99,99,1,2.56315342,"http://maps.google.com/maps?q=35.8558887259433,-79.5294514965527&z=20&ll=35.8558887259433,-79.5294514965527&t=k",01,5,,
1874854.23233522,775231.824071974,23094,000158,PRONG CANE CREEK,SR2358,CULVERT,ALAMANCE,40002358,3.39,93.39,40002358001,1874854.23233522,775231.82407197,-79.42244553,35.87931021,0010158,7,"Local, Rural",N,3,219,EXTERIOR & INTERIOR WALLS:1'0,"DOUBLE 15'X8' RC BOX CULVERT, 46'2 ALONG CENTERLINE CULVERT",99,99,1,0.24701842,"http://maps.google.com/maps?q=35.8793102103609,-79.4224455327965&z=20&ll=35.8793102103609,-79.4224455327965&t=k",01,5,800,2022
