X,Y,OBJECTID,BRDG_NBR,FTR_INTRSC,F_CARRIED,BRDG_TYP_NM,COUNTY,ROUTE,RD_ANGLE,STR_ANGLE,RTE_ID,X_COORD,Y_COORD,LONG_DD,LAT_DD,BSIP_BRDG_NBR,DIVISION,FUNC_CLASS,FUNC_OBSOL,DETOUR_LEN,STRTYPMAIN,SUPERSTRUC,SUBSTRUCTU,POSTED_SV,POSTED_TTST,SERVICEON,MP,GOOGLE_LINK,MAINT_RESP,SERVICEUNDER
1718913.17742005,441427.596012473,476,030077,HAUL ROAD,US74,VEHICULAR UNDERPASS,ANSON,20000074,344,254,20000074004,1718913.17742005,441427.59601247,-79.93817285,34.95925182,0040077,10,"Principal Arterial - Other, Rural",N,2,219,,"DOUBLE 20'X15' RC BOX CULVERT,133'0"" ALONG CENTERLINE CULVERT",99,99,1,21.53009032,"http://maps.google.com/maps?q=34.9592518210478,-79.9381728543147&z=20&ll=34.9592518210478,-79.9381728543147&t=k",01,1
2671118.7917058,599797.633274391,1046,060321,PAMLICO SOUND,NC306 FERRY,FERRY RAMP,BEAUFORT,FERRY,75,75,NA,2671118.7917058,599797.63327439,-76.74835999,35.37713879,0070321,2,"Major Collector, Rural",FO,99,302,EBT&IBT:RC CAP ON STL.H-PILES,"APP:PPC CORED SLAB;LIFT SPN,STL PLATE /STL FLOOR BEAM SYSTEM",99,99,1,,"http://maps.google.com/maps?q=35.3771387923321,-76.7483599857306&z=20&ll=35.3771387923321,-76.7483599857306&t=k",01,5
2672965.80015089,618352.390128061,1047,060322,PAMLICO RIVER,NC306 FERRY,FERRY RAMP,BEAUFORT,30000306,80.65,80.65,30000306007,2672965.80015089,618352.39012806,-76.74074878,35.42799102,0070322,2,"Major Collector, Rural",FO,99,303,E.BT.& INT.BT:RC CAP/STL.H-PILES,"APP:PPC CORED SLAB;LIFT SPN, STL PLATE/STL FLOOR BEAM SYSTEM",99,99,1,21.079401,"http://maps.google.com/maps?q=35.4279910185565,-76.7407487774536&z=20&ll=35.4279910185565,-76.7407487774536&t=k",01,5
2305454.46660547,68897.6156802326,1368,090209,SOUTHPORT FERRY ,NC211,FERRY RAMP,BRUNSWICK,30000211,207.53,207.53,30000211010,2305454.46660547,68897.61568023,-77.99311266,33.93503796,0100209,3,"Minor Arterial, Rural",FO,99,302,E.BTS&BTS:RC CAPS/PPC PILES,"PPC CORED SLAB; STEEL TRUSS",99,99,1,0.02666188,"http://maps.google.com/maps?q=33.9350379614756,-77.9931126573512&z=20&ll=33.9350379614756,-77.9931126573512&t=k",01,5
944209.35478355,683954.057152808,1488,100140,US25,VICTORIA ROAD,VEHICULAR UNDERPASS,BUNCOMBE,50091308,65,155,50091308011,944209.35478355,683954.05715281,-82.5514339,35.57737948,0110140,13,"Collector, Urban",N,1,119,REINFORCED CONCRETE ARCH,REINFORCED CONC. 50' X 25' ARCH VEHICULAR UNDERPASS (FACED W/STONE),99,99,5,0.113609,"http://maps.google.com/maps?q=35.5773794830175,-82.5514338959227&z=20&ll=35.5773794830175,-82.5514338959227&t=k",01,1
2804088.1517508,472644.592633471,2588,150099,PAMLICO SOUND,NC12FERRY,FERRY RAMP,CARTERET,30000012,50,50,30000012016,2804088.1517508,472644.59263347,-76.31398125,35.0187851,0160099,2,"Major Collector, Rural",FO,99,303,E.BTS:RC CAP/PPC PILES,"STEEL FLOOR/STEEL I-BEAMS,FLOOR BEAM SYSTEM ",99,99,1,12.01779826,"http://maps.google.com/maps?q=35.0187850964183,-76.3139812507567&z=20&ll=35.0187850964183,-76.3139812507567&t=k",01,5
2804165.05415605,472562.320160225,2589,150100,PAMLICO SOUND,NC12 FERRY,FERRY RAMP,CARTERET,FERRY,53,53,NA,2804165.05415605,472562.32016023,-76.31373192,35.0185534,0160100,2,"Major Collector, Rural",FO,99,302,E.BTS:RC CAP/PPC PILES,STEEL FLOOR ON STEEL I-BEAMS,99,99,1,,"http://maps.google.com/maps?q=35.0185533986325,-76.3137319223218&z=20&ll=35.0185533986325,-76.3137319223218&t=k",01,5
2655921.92905498,439389.067937315,3907,240214,NEUSE RIVER,NC306 FERRY,FERRY RAMP,CRAVEN,30000306,355,355,30000306025,2655921.92905498,439389.06793731,-76.81119386,34.93742973,0250214,2,"Major Collector, Rural",FO,99,302,E.BTS:TIMBER CAP ON TIMBER PILES,STEEL DECK ON STEEL BEAMS,99,99,1,4.52795775,"http://maps.google.com/maps?q=34.9374297262041,-76.8111938583262&z=20&ll=34.9374297262041,-76.8111938583262&t=k",01,5
2903423.45734489,1008914.08800572,4174,260019,CURRITUCK SOUND,NC615FERRY,FERRY RAMP,CURRITUCK,30000615,38.64,38.64,30000615027,2903423.45734489,1008914.08800572,-75.92691495,36.48351985,0270019,1,"Local, Rural",FO,99,303,EBTS&INT.BTS:RC CAPS/PPC PILES @ VAR CTS,"APPR:PPC CS/PPC PILES;MAIN:STEEL FLOOR/I-BEAMS",99,99,1,5.79628472,"http://maps.google.com/maps?q=36.4835198541464,-75.9269149498854&z=20&ll=36.4835198541464,-75.9269149498854&t=k",01,5
2878378.86012447,995710.399846226,4176,260032,CURRITUCK SOUND,NC615FERRY  ,FERRY RAMP,CURRITUCK,30000615,10,10,30000615027,2878378.86012447,995710.39984623,-76.01340534,36.44937208,0270032,1,"Local, Rural",FO,0,303,EBTS&INT.BTS:RC CAPS/PPC PILES @ VAR CTS,"APP:PPC-CORED SLAB;MAIN:STEEL FLOOR/I-BEAMS",99,99,1,0.389,"http://maps.google.com/maps?q=36.4493720849328,-76.0134053371453&z=20&ll=36.4493720849328,-76.0134053371453&t=k",01,5
2984739.13526438,546987.037780315,4202,270044,HATTERAS INLET,NC12 FERRY,FERRY RAMP,DARE,FERRY,309.93,309.93,NA,2984739.13526438,546987.03778031,-75.70268154,35.20800798,0280044,1,"Major Collector, Rural",FO,99,303,"PIVOT BT:RC CAP/PPC PILES;LIFT BT:STL.CAP/STL.PILES ENC.",STEEL PLANK FLOOR ON STL.GDR FLOOR BEAM SYSTEM,99,99,1,,"http://maps.google.com/maps?q=35.2080079821509,-75.7026815423516&z=20&ll=35.2080079821509,-75.7026815423516&t=k",01,5
