X,Y,OBJECTID,BRDG_NBR,FTR_INTRSC,F_CARRIED,BRDG_TYP_NM,COUNTY,ROUTE,RD_ANGLE,STR_ANGLE,RTE_ID,X_COORD,Y_COORD,LONG_DD,LAT_DD,BSIP_BRDG_NBR,DIVISION,FUNC_CLASS,FUNC_OBSOL,DETOUR_LEN,STRTYPMAIN,SUPERSTRUC,SUBSTRUCTU,POSTED_SV,POSTED_TTST,SERVICEON,MP,GOOGLE_LINK,MAINT_RESP,SERVICEUNDER
3029615.51598388,752129.983464733,4189,270011,OREGON INLET,PEDESTRIAN WALKWAY,PEDESTRIAN WALKWAY,DARE,NA,,160,NA,3029615.51598388,752129.98346473,-75.52852432,35.76711151,0280011,1,"Major Collector, Rural",FO,99,502,"END BTS:RC CAPS/PPC PLS;INT.BTS:PPC/RC CAPS ON PPC PILES, CRUTCH BTS",RC DECK ON PPC GIRDERS,99,99,3,,"http://maps.google.com/maps?q=35.7671115085909,-75.5285243204615&z=20&ll=35.7671115085909,-75.5285243204615&t=k",01,5
1578884.95616472,826918.790251642,4611,290084,I40,PEDESTRIAN WALKWAY,PEDESTRIAN WALKWAY,DAVIE,NA,45,135,NA,1578884.95616472,826918.79025164,-80.42394143,36.01373575,0300084,9,"Principal Arterial - Interstate, Urban",FO,99,310,CONCTETE ABUTMENTS,CAST IN PLACE DECK ON STEEL THROUGH TRUSS,99,99,3,,"http://maps.google.com/maps?q=36.0137357532475,-80.4239414303645&z=20&ll=36.0137357532475,-80.4239414303645&t=k",01,1
1629901.79704422,854579.715244651,5439,330286,US421,PEDESTRIAN WALKWAY,PEDESTRIAN WALKWAY,FORSYTH,NA,30,120,NA,1629901.79704422,854579.71524465,-80.25263486,36.09160336,0340286,9,"Principal Arterial - Other Freeways or Expressways, Urban",FO,1,0,"EBTS; RC CAPS/H-PILES@ 8'-10 3/8"" CENTERS; INT.BTS.: RC CAPS/H-PILES W/MSE WALL",TENSIONED CONCRETE DECK,99,99,3,,"http://maps.google.com/maps?q=36.0916033596979,-80.2526348568293&z=20&ll=36.0916033596979,-80.2526348568293&t=k",01,1
839021.642587215,646468.209224388,7102,430079,W.FORK PIGEON RIVER,PEDESTRAIN WALKWAY,PEDESTRIAN WALKWAY,HAYWOOD,40001112,,140,40001112044,839021.64258721,646468.20922439,-82.89996172,35.46361526,0440079,14,"Local, Rural",FO,99,310,"E.BT1:TIM.POST&SILL;E.BT2&PIER:RC SOLID","TIMBER FLOOR ON TIMBER JOISTS & STEEL THRU TRUSS (53 PSF; 88 PSF)",99,99,3,0.01339417,"http://maps.google.com/maps?q=35.4636152564292,-82.8999617243468&z=20&ll=35.4636152564292,-82.8999617243468&t=k",01,5
986350.895172223,557964.746795982,7415,440120,GREEN RIVER,PED WLKWAY (CLOSED,PEDESTRIAN WALKWAY,HENDERSON,WALKWAY,,135,NA,986350.89517222,557964.74679598,-82.3953035,35.2354768,0450120,14,"Major Collector, Rural",FO,4,111,"ABUTS:SPILL THRU;INT BNTS:RC POST & BEAM & RC ARCH",REINFORCED CONCRETE DECK GIRDERS & OPEN SPANDREL ARCH,0,0,3,,"http://maps.google.com/maps?q=35.2354768040755,-82.3953034998438&z=20&ll=35.2354768040755,-82.3953034998438&t=k",01,5
675076.950792223,583600.465209484,9022,550172,LITTLE TENNESSEE RIVER,PEDESTRIAN WALKWAY,PEDESTRIAN WALKWAY,MACON,WALKWAY,,21,NA,675076.95079222,583600.46520948,-83.44055428,35.27211399,0560172,14,"Local, Rural",FO,99,310,"E.BTS.&INT.BTS:1&4:TIM.CAPS/TIM.PILES; BTS:2&3:RC POST&BEAM",TIM FLOOR ON I-BMS & HIGH STEEL TRUSS,99,99,3,,"http://maps.google.com/maps?q=35.2721139927061,-83.4405542773009&z=20&ll=35.2721139927061,-83.4405542773009&t=k",01,5
1586901.0113268,720854.796015233,12822,790046,YADKIN RIVER,PEDESTRIAN WALKWAY,PEDESTRIAN WALKWAY,ROWAN,NA,,198.29,NA,1586901.0113268,720854.79601523,-80.39181189,35.72269678,0800046,9,"Minor Arterial, Urban",N,1,111,"ABUTS:RC SPILL THROUGH,BT#1&10:RCP&B,BT#2-9:RC SOLID PIERS","APPROACH: RC DECK GIRDERS, MAIN: OPEN SPANDREL RC DECK ARCH",99,99,3,,"http://maps.google.com/maps?q=35.7226967830571,-80.3918118946289&z=20&ll=35.7226967830571,-80.3918118946289&t=k",02,5
939478.0128683,722131.211441398,17540,100075,"US19;23BUS",PED WKWY (CLOSED),PEDESTRIAN WALKWAY,BUNCOMBE,WALKWAY,71.58,161.58,NA,939478.0128683,722131.2114414,-82.57195415,35.68173459,0110075,13,"Minor Arterial, Urban",FO,3,302,"E.BTS&INT.BTS:TIM.CAPS/TIM.POST&SILLS;BNTS;1&2/CONC.FTGS.","TIM. FLOOR ON I-BEAMS & TIM. JOISTS (109 PSF, 182 PSF)",0,0,3,,"http://maps.google.com/maps?q=35.6817345905164,-82.5719541465294&z=20&ll=35.6817345905164,-82.5719541465294&t=k",01,1
934188.745887801,682128.881669313,17572,100257,"I-26,I-240          ",PED.WLKWY.(CLOSED),PEDESTRIAN WALKWAY,BUNCOMBE,WALKWAY,80,170,NA,934188.7458878,682128.88166931,-82.58489011,35.57137874,0110257,13,"Principal Arterial - Interstate, Urban",FO,1,104,"RC ABUTS;RC HAMMERHEAD PIERS ",RC FLOOR ON THRU GDR. & DECK GIRDERS,0,0,3,,"http://maps.google.com/maps?q=35.571378740837,-82.5848901143385&z=20&ll=35.571378740837,-82.5848901143385&t=k",01,1
938970.77274105,689144.245263234,17589,100340,"I-26,I-240            ",PED.WALKWAY,PEDESTRIAN WALKWAY,BUNCOMBE,WALKWAY,12.91,102.91,NA,938970.77274105,689144.24526323,-82.56966764,35.59111403,0110340,13,"Principal Arterial - Interstate, Urban",FO,99,302,"STAIRWAY&ABUT1:REINFORCED CONCRETE;BNTS:RCHBT",REINFORCED CONCRETE FLOOR ON I-BEAMS,99,99,3,,"http://maps.google.com/maps?q=35.5911140278539,-82.569667644698&z=20&ll=35.5911140278539,-82.569667644698&t=k",01,1
