X,Y,OBJECTID,BRDG_NBR,FTR_INTRSC,F_CARRIED,BRDG_TYP_NM,COUNTY,ROUTE,RD_ANGLE,STR_ANGLE,RTE_ID,X_COORD,Y_COORD,LONG_DD,LAT_DD,BSIP_BRDG_NBR,DIVISION,FUNC_CLASS,FUNC_OBSOL,DETOUR_LEN,STRTYPMAIN,SUPERSTRUC,SUBSTRUCTU,POSTED_SV,POSTED_TTST,SERVICEON,MP,GOOGLE_LINK,MAINT_RESP,SERVICEUNDER
1846426.80887522,896187.896135733,1,000001,CREEK,SR1576,PIPE,ALAMANCE,40001576,179.73,89.73,40001576001,1846426.80887522,896187.89613573,-79.52054535,36.21120535,0010001,7,"Local, Rural",,0,919,,"SINGLE 21'10""X5'8"" ALUMINUM BOX CULVERT; 40'6"" ALONG CENTERLINE OF  CULVERT",99,99,1,0.52802487,"http://maps.google.com/maps?q=36.2112053516255,-79.5205453493606&z=20&ll=36.2112053516255,-79.5205453493606&t=k",01,5
1840931.79919598,842265.060740143,9,000009,LITTLE BACK CREEK,"I40, I85",PIPE,ALAMANCE,10000040,11.48,101.48,10000040001,1840931.79919598,842265.06074014,-79.53817977,36.063005,0010009,7,"Principal Arterial - Interstate, Urban",N,2,119,,"SINGLE 40'X19' RC ARCH CULVERT; 233'-2"" ALONG CENTERLINE OF CULVERT",99,99,1,0.03905218,"http://maps.google.com/maps?q=36.0630050021419,-79.538179769481&z=20&ll=36.0630050021419,-79.538179769481&t=k",01,5
1862074.86124048,807149.139502317,10,000010,ROCK CREEK,NC49,PIPE,ALAMANCE,30000049,99.77,9.77,30000049001,1862074.86124048,807149.13950232,-79.46608919,35.96683428,0010010,7,"Minor Arterial, Rural",N,3,319,CONCRETE HEADWALLS,"2 LNS 108"" STRUCT. PLATE PIPE- ROUND; 70'4"" ALONG CENTERLINE OF PIPE",99,99,1,8.8901734,"http://maps.google.com/maps?q=35.9668342826844,-79.466089185655&z=20&ll=35.9668342826844,-79.466089185655&t=k",01,5
1919429.08872339,862159.088537306,27,000029,MILL CREEK,NC119,PIPE,ALAMANCE,40002050,110.1,20.1,40002050001,1919429.08872339,862159.08853731,-79.2727847,36.11853386,0010029,7,"Minor Arterial, Urban",N,2,119,,"SINGLE 39'6"" X 20'0"" RC ARCH CULVERT, 37'3"" ALONG CENTERLINE OF CULVERT",99,99,1,1.5891833,"http://maps.google.com/maps?q=36.1185338622588,-79.2727847017388&z=20&ll=36.1185338622588,-79.2727847017388&t=k",01,5
1918215.01536414,870177.035099804,51,000057,BACK CREEK,NC119,PIPE,ALAMANCE,30000119,69.27,159.27,30000119001,1918215.01536414,870177.0350998,-79.27697084,36.14054932,0010057,7,"Minor Arterial, Rural",N,3,119,,"SINGLE 48'X18' RC ARCH CULVERT, 34'-4"" ALONG CENTERLINE OF CULVERT",99,99,1,9.63171121,"http://maps.google.com/maps?q=36.1405493168423,-79.2769708437533&z=20&ll=36.1405493168423,-79.2769708437533&t=k",01,5
1905583.6613618,872710.098931313,59,000065,SCRUB CREEK,SR1912,PIPE,ALAMANCE,40001912,3.08,93.08,40001912001,1905583.6613618,872710.09893131,-79.31977521,36.14740311,0010065,7,"Local, Rural",N,4,919,ALUMINUM HEADWALLS,"SINGLE 22'-1"" X 9'-3"" ALUMINUM BOX CULVERT, 54'-0"" ALONG CENTERLINE OF CULVERT",99,99,1,1.10374604,"http://maps.google.com/maps?q=36.1474031136423,-79.3197752054531&z=20&ll=36.1474031136423,-79.3197752054531&t=k",01,5
1899129.83962381,838235.808628067,68,000074,CREEK,SR2124,PIPE,ALAMANCE,40002124,305.86,215.86,40002124001,1899129.83962381,838235.80862807,-79.3412319,36.05264481,0010074,7,"Local, Urban",N,3,319,,"2 LINES OF 142"" X 91"" CM PIPE ARCH, 60'-0"" ALONG CENTERLINE PIPE",99,99,1,0.39453862,"http://maps.google.com/maps?q=36.0526448060174,-79.3412318991465&z=20&ll=36.0526448060174,-79.3412318991465&t=k",01,5
1917554.32541256,829569.126486391,72,000078,PRONG HAW CREEK,SR2131,PIPE,ALAMANCE,40002131,103.44,13.44,40002131001,1917554.32541256,829569.12648639,-79.27882205,36.02899529,0010078,7,"Local, Urban",N,1,919,,"SINGLE 25'7""X8'7"" ALUMINUM BOX CULVERT; 54' ALONG CENTERLINE OF CULVERT",99,99,1,1.462037,"http://maps.google.com/maps?q=36.0289952899831,-79.2788220481016&z=20&ll=36.0289952899831,-79.2788220481016&t=k",01,5
1909977.03282438,807174.976392895,81,000089,MOTES CREEK,SR2142,PIPE,ALAMANCE,40002142,317.37,227.37,40002142001,1909977.03282438,807174.97639289,-79.30421536,35.96741582,0010089,7,"Local, Rural",N,0,119,CONCRETE FOOTINGS,"SINGLE 40'X6' PRECAST CONCRETE CROWNSPAN, 40'0"" ALONG CENTERLINE OF CULVERT",99,99,1,4.37038085,"http://maps.google.com/maps?q=35.9674158173318,-79.3042153601523&z=20&ll=35.9674158173318,-79.3042153601523&t=k",01,5
1872715.25006464,779092.095878974,114,000127,CANE CREEK,SR1004,PIPE,ALAMANCE,40001004,89.96,179.96,40001004001,1872715.25006464,779092.09587897,-79.42972226,35.88988984,0010127,7,"Minor Collector, Rural",N,3,119,,"SINGLE 47'7X24'0 RC ARCH,36'6 ALONG CENTERLINE OF ARCH",99,99,1,3.26105667,"http://maps.google.com/maps?q=35.8898898365286,-79.4297222590016&z=20&ll=35.8898898365286,-79.4297222590016&t=k",01,5
1884009.67038913,783166.139896229,119,000133,PRONG CANE CREEK,SR1005,PIPE,ALAMANCE,40001005,206.66,116.66,40001005001,1884009.67038913,783166.13989623,-79.39164618,35.90121028,0010133,7,"Major Collector, Rural",N,3,319,,"2 LINES OF 142""X91"" CM PIPE ARCH, 73'-9"" ALONG CENTERLINE OF PIPE",99,99,1,7.9883486,"http://maps.google.com/maps?q=35.9012102808344,-79.3916461818748&z=20&ll=35.9012102808344,-79.3916461818748&t=k",01,5
1862809.26397114,806719.641673639,127,000143,ROCK CREEK,SR2362,PIPE,ALAMANCE,40002362,314.71,224.71,40002362001,1862809.26397114,806719.64167364,-79.46360068,35.96566386,0010143,7,"Local, Rural",N,1,919,,"SINGLE 35'1"" X 7'3"" ALUMINUM BOX CULVERT, 40'6"" ALONG CENTERLINE OF CULVERT",99,99,1,0.14092171,"http://maps.google.com/maps?q=35.9656638614002,-79.463600683203&z=20&ll=35.9656638614002,-79.463600683203&t=k",01,5
1874580.19515364,778640.22571972,135,000156,PRONG CANE CREEK,SR2359,PIPE,ALAMANCE,40002359,4.77,94.77,40002359001,1874580.19515364,778640.22571972,-79.42341964,35.88867049,0010156,7,"Local, Rural",N,2,119,,"SINGLE 42'0"" X 10'0"" PRECAST CONCRETE CONSPAN, 27'8"" ALONG CENTERLINE OF CULVERT",99,99,1,0.35958172,"http://maps.google.com/maps?q=35.8886704870159,-79.4234196434996&z=20&ll=35.8886704870159,-79.4234196434996&t=k",01,5
1880243.88559788,777314.846152648,136,000157,REEDY BRANCH,SR2358,PIPE,ALAMANCE,40002358,7.86,97.86,40002358001,1880243.88559788,777314.84615265,-79.40428091,35.8850943,0010157,7,"Local, Rural",N,1,319,,"3 LINES OF 137"" X 87"" CM PIPE ARCH; 70'-11"" ALONG CENTERLINE OF PIPE",99,99,1,1.45932031,"http://maps.google.com/maps?q=35.8850943019484,-79.404280911332&z=20&ll=35.8850943019484,-79.404280911332&t=k",01,5
1847276.15822639,801547.472884148,138,000159,LITTLE STINKING CREEK,SR1116,PIPE,ALAMANCE,40001116,343.46,253.46,40001116001,1847276.15822639,801547.47288415,-79.51599906,35.95124489,0010159,7,"Local, Rural",N,4,319,,"3 LINES OF 112"" X 75"" CM PIPE ARCH; 61'4"" ALONG CENTERLINE OF PIPE",99,99,1,0.41394073,"http://maps.google.com/maps?q=35.9512448916703,-79.5159990577924&z=20&ll=35.9512448916703,-79.5159990577924&t=k",01,5
1909884.05007072,800226.030973226,157,000220,BRANCH,SR2148,PIPE,ALAMANCE,40002148,292.09,202.09,40002148001,1909884.05007072,800226.03097323,-79.30445756,35.94832549,0010220,7,"Local, Rural",N,99,319,,"2 LINES OF 112"" X 75"" CM PIPE ARCH; 100'9"" ALONG CENTERLINE OF PIPE",99,99,1,0.25130075,"http://maps.google.com/maps?q=35.9483254876587,-79.3044575555166&z=20&ll=35.9483254876587,-79.3044575555166&t=k",01,5
1856288.37773472,801460.489134222,158,000223,SANDY RUN CREEK,SR1126,PIPE,ALAMANCE,40001126,188.03,98.03,40001126001,1856288.37773472,801460.48913422,-79.48554907,35.95113083,0010223,7,"Local, Rural",N,3,319,,"2 LINES OF 137"" X 87"" CM PIPE ARCH, 60'-0"" ALONG CENTERLINE PIPE",99,99,1,0.98920448,"http://maps.google.com/maps?q=35.9511308301927,-79.4855490659662&z=20&ll=35.9511308301927,-79.4855490659662&t=k",01,5
1871858.56378588,871597.682192892,160,000239,CREEK,SR1597,PIPE,ALAMANCE,40001597,17.19,107.19,40001597001,1871858.56378588,871597.68219289,-79.43397975,36.14399572,0010239,7,"Local, Rural",N,3,319,,"2 LINES OF 128"" X 83"" CM PIPE ARCH, 60'-0"" ALONG CENTERLINE OF PIPE",99,99,1,1.85151624,"http://maps.google.com/maps?q=36.1439957155523,-79.4339797533784&z=20&ll=36.1439957155523,-79.4339797533784&t=k",01,5
1887449.90793122,841555.70914048,165,000271,BRANCH,SR2106,PIPE,ALAMANCE,40002106,40.35,130.35,40002106001,1887449.90793122,841555.70914048,-79.38078645,36.06164789,0010271,7,"Local, Urban",N,1,319,,"2 LINES OF 128"" X 83"" CM PIPE ARCH; 57'0"" ALONG CENTERLINE OF PIPE ",99,99,1,0.03982284,"http://maps.google.com/maps?q=36.0616478937093,-79.38078644678&z=20&ll=36.0616478937093,-79.38078644678&t=k",01,5
1893593.73094539,804132.917188317,167,000290,BRICKHOUSE CREEK,SR2176,PIPE,ALAMANCE,40002176,284.39,194.39,40002176001,1893593.73094539,804132.91718832,-79.35954191,35.95890849,0010290,7,"Local, Rural",N,1,319,,"2 LINES 142X91 CM PIPE ARCH, 60'-0"" ALONG CENTERLINE OF PIPE",99,99,1,1.22119091,"http://maps.google.com/maps?q=35.9589084910694,-79.3595419069297&z=20&ll=35.9589084910694,-79.3595419069297&t=k",01,5
1896678.84747855,894885.382664651,168,000291,OWENS CREEK,SR1762,PIPE,ALAMANCE,40001762,119.26,29.26,40001762001,1896678.84747855,894885.38266465,-79.3501993,36.20823297,0010291,7,"Local, Rural",N,2,319,,"2 LINES OF 142"" X 91"" CM PIPE ARCH, 60'0"" ALONG CENTERLINE OF PIPE",99,99,1,1.69827095,"http://maps.google.com/maps?q=36.2082329728518,-79.3501992987407&z=20&ll=36.2082329728518,-79.3501992987407&t=k",01,5
1857532.20267488,882975.757533804,171,000296,BASIN CREEK,SR1594,PIPE,ALAMANCE,40001594,119.08,29.08,40001594001,1857532.20267488,882975.7575338,-79.48268583,36.1750681,0010296,7,"Local, Rural",N,1,319,,"2 LINES OF 116"" X 75"" CM PIPE ARCH, 60'0"" ALONG CENTERLINE OF PIPE",99,99,1,1.06713049,"http://maps.google.com/maps?q=36.1750681046497,-79.4826858320211&z=20&ll=36.1750681046497,-79.4826858320211&t=k",01,5
1887870.04554239,841010.854915231,172,000297,BRANCH,SR2107,PIPE,ALAMANCE,40002107,45.47,135.47,40002107001,1887870.04554239,841010.85491523,-79.37935798,36.0601556,0010297,7,"Local, Urban",N,1,919,ALUMINIUM HEADWALL,"SINGLE 25'-3"" X 7'-9"" ALUMINUM BOX CULVERT, 45'-0"" ALONG CENTERLINE OF CULVERT",99,99,1,0.02829104,"http://maps.google.com/maps?q=36.0601556009783,-79.3793579806681&z=20&ll=36.0601556009783,-79.3793579806681&t=k",01,5
1899976.38779947,819828.439274892,174,000305,PRONG HAW CREEK,SR2165,PIPE,ALAMANCE,40002165,233.14,143.14,40002165001,1899976.38779947,819828.43927489,-79.33815603,36.00208706,0010305,7,"Local, Rural",N,3,319,,"3 LINES OF 84"" CM PIPE- ROUND, 72'-5"" ALONG CENTERLINE OF PIPE",99,99,1,0.84923962,"http://maps.google.com/maps?q=36.002087058289,-79.3381560315233&z=20&ll=36.002087058289,-79.3381560315233&t=k",01,5
1871722.67757472,768037.113067731,176,000310,BRANCH OF CANE CREEK,SR2370,PIPE,ALAMANCE,40002370,130,40,40002370001,1871722.67757472,768037.11306773,-79.43291045,35.8595079,0010310,7,"Local, Rural",N,3,919,,"SINGLE 22'-1""X9'-3"" ALUMINUM BOX CULVERT; 49'-8""ALONG CENTERLINE OF CULVERT",99,99,1,0.32481434,"http://maps.google.com/maps?q=35.8595079001476,-79.4329104516296&z=20&ll=35.8595079001476,-79.4329104516296&t=k",01,5
1890400.07985239,891178.191916317,177,000319,BRANCH OF OWENS CREEK,SR1758,PIPE,ALAMANCE,40001758,258.52,168.52,40001758001,1890400.07985239,891178.19191632,-79.3714335,36.19798728,0010319,7,"Local, Rural",N,1,919,,"SINGLE 20'7""X5'3"" ALUM. BOX CULVERT, 40'9"" ALONG CENTERLINE OF CULVERT",99,99,1,0.10494502,"http://maps.google.com/maps?q=36.1979872778308,-79.3714335028415&z=20&ll=36.1979872778308,-79.3714335028415&t=k",01,5
1849678.86864406,806069.16692473,179,000325,LITTLE CREEK,SR1121,PIPE,ALAMANCE,40001121,18.49,108.49,40001121001,1849678.86864406,806069.16692473,-79.50795948,35.96370044,0010325,7,"Local, Rural",N,2,319,,"3 LINES OF 108"" CM PIPE- ROUND; 66'9"" ALONG CENTERLINE OF PIPE",99,99,1,1.10554112,"http://maps.google.com/maps?q=35.9637004384013,-79.507959476179&z=20&ll=35.9637004384013,-79.507959476179&t=k",01,5
1894102.9481028,795697.904858887,181,000328,MARY'S CREEK,SR2334,PIPE,ALAMANCE,40002334,203.05,113.05,40002334001,1894102.9481028,795697.90485889,-79.3577186,35.93574155,0010328,7,"Local, Rural",N,99,319,,"2 LINES OF 137"" X 87"" CM PIPE ARCH, 80'0"" ALONG CENTERLINE OF PIPE",99,99,1,0.27851736,"http://maps.google.com/maps?q=35.9357415521112,-79.3577185960891&z=20&ll=35.9357415521112,-79.3577185960891&t=k",01,5
1909827.89532739,834265.174508974,184,000340,PRONG HAW CREEK,SR2133,PIPE,ALAMANCE,40002133,289.2,199.2,40002133001,1909827.89532739,834265.17450897,-79.30500061,36.04183307,0010340,7,"Local, Rural",N,6,319,CONCRETE HEADWALLS,"3 LINES 90"" CM PIPE-ROUND; 42'7"" ALONG CENTERLINE OF PIPE",99,99,1,1.06998237,"http://maps.google.com/maps?q=36.0418330678427,-79.3050006067507&z=20&ll=36.0418330678427,-79.3050006067507&t=k",01,5
1873161.76688814,880892.970688894,185,000341,CREEK,SR1605,PIPE,ALAMANCE,40001605,256.24,166.24,40001605001,1873161.76688814,880892.97068889,-79.42970249,36.16954429,0010341,7,"Local, Rural",N,3,319,RC HEADWALLS,"3 LINES 90"" STRUCT.PLATE PIPE-ROUND; 42'-8"" ALONG CENTERLINE OF PIPE",99,99,1,1.66744755,"http://maps.google.com/maps?q=36.1695442891451,-79.4297024854034&z=20&ll=36.1695442891451,-79.4297024854034&t=k",01,5
1874421.78766206,856128.012344897,198,000356,CREEK,US70E,PIPE,ALAMANCE,20000070,344.53,254.53,20000070001,1874421.78766206,856128.0123449,-79.42507459,36.10153229,0010356,7,"Other Principal Arterial, Urban",N,1,119,,"1 BARREL 9'X7' RCBC,1 LN 72"" RC PIPE, 64'-9"" ALONG CENTERLINE OF CULVERT",99,99,1,6.84466977,"http://maps.google.com/maps?q=36.1015322855948,-79.4250745885033&z=20&ll=36.1015322855948,-79.4250745885033&t=k",01,5
1877629.40559064,856570.488822147,200,000358,DRY CREEK,BEAUMONT AVE.,PIPE,ALAMANCE,50000927,272.04193572,182.04193572,50000927001,1877629.40559064,856570.48882215,-79.41422338,36.10278499,0010358,7,"Collector, Urban",N,1,919,,"2 LINES 132"" X 84"" CM PIPE ARCH-ALUMINUM; 62'0"" ALONG CENTERLINE OF PIPE ",99,99,1,1.08850294,"http://maps.google.com/maps?q=36.1027849908924,-79.4142233750167&z=20&ll=36.1027849908924,-79.4142233750167&t=k",04,5
1861130.14495406,854234.305830479,202,000360,LITTLE ALAMANCE CREEK,WOODLAND AVE,PIPE,ALAMANCE,50096440,177.91389017,87.91389017,50096440001,1861130.14495406,854234.30583048,-79.470035,36.09616577,0010360,7,"Local, Urban",N,4,119,,"3 LINES OF 72"" RC PIPE, 60' 7"" ALONG CENTERLINE OF PIPE",99,99,1,0.72284693,"http://maps.google.com/maps?q=36.0961657710038,-79.4700349961198&z=20&ll=36.0961657710038,-79.4700349961198&t=k",04,5
1886927.73771572,842833.601925895,203,000361,CREEK,SR1945,PIPE,ALAMANCE,40001945,353.89,263.89,40001945001,1886927.73771572,842833.60192589,-79.38256973,36.06515274,0010361,7,"Local, Urban",N,1,319,,"2 LINES 120"" CM PIPE- ROUND; 75' 3"" ALONG CENTERLINE OF PIPE",99,99,1,0.18007536,"http://maps.google.com/maps?q=36.0651527390548,-79.3825697296414&z=20&ll=36.0651527390548,-79.3825697296414&t=k",01,5
1864272.47692397,782489.074321225,204,000362,WELLS CREEK,SR1005,PIPE,ALAMANCE,40001005,161.58,71.58,40001005001,1864272.47692397,782489.07432123,-79.4582782,35.89911816,0010362,7,"Major Collector, Rural",N,1,319,,"2 LINES OF 112"" X 75"" CM PIPE ARCH; 60'0"" ALONG CENTERLINE OF PIPE",99,99,1,12.33603002,"http://maps.google.com/maps?q=35.899118157195,-79.4582782047921&z=20&ll=35.899118157195,-79.4582782047921&t=k",01,5
1888981.44030122,836509.653943896,205,000363,BARNES CREEK,SR2100,PIPE,ALAMANCE,40002100,298.16,208.16,40002100001,1888981.44030122,836509.6539439,-79.37554034,36.0478024,0010363,7,"Collector, Urban",N,1,319,,"2 LINES OF 137"" X 87"" CM PIPE ARCH, 80'0"" ALONG CENTERLINE OF PIPE",99,99,1,1.87578398,"http://maps.google.com/maps?q=36.0478023991262,-79.3755403376778&z=20&ll=36.0478023991262,-79.3755403376778&t=k",01,5
