X,Y,OBJECTID,BRDG_NBR,FTR_INTRSC,F_CARRIED,BRDG_TYP_NM,COUNTY,ROUTE,RD_ANGLE,STR_ANGLE,RTE_ID,X_COORD,Y_COORD,LONG_DD,LAT_DD,BSIP_BRDG_NBR,DIVISION,FUNC_CLASS,FUNC_OBSOL,DETOUR_LEN,STRTYPMAIN,SUPERSTRUC,SUBSTRUCTU,POSTED_SV,POSTED_TTST,SERVICEON,MP,GOOGLE_LINK,MAINT_RESP,SERVICEUNDER,AADT,AADT_YR
1870931.9137363,854186.843983144,40358,000017,US70E,SOUTHERN RR,RAILROAD,ALAMANCE,RAILROAD,36,126,NA,1870931.9137363,854186.84398314,-79.43685853,36.09615838,0010017,7,"Other Principal Arterial, Urban",FO,0,302,ABUTMENTS: REINFORCED CONCRETE CELLULAR,REINFORCED CONCRETE DECK ON I-BEAMS,99,99,2,,"http://maps.google.com/maps?q=36.0961583845745,-79.4368585324737&z=20&ll=36.0961583845745,-79.4368585324737&t=k",27,1,,
1870487.60196088,854837.613350898,40359,000019,US70W,SOUTHERN RR,RAILROAD,ALAMANCE,RAILROAD,232,130,NA,1870487.60196088,854837.6133509,-79.43837211,36.09794063,0010019,7,"Other Principal Arterial, Urban",FO,0,302,"EBTS:RC CAPS & STEEL PILES, INTBTS:RC POST&BEAM W/PILE FTGS.",REINFORCED CONCRETE DECK ON I-BEAMS,99,99,2,,"http://maps.google.com/maps?q=36.0979406325771,-79.4383721079335&z=20&ll=36.0979406325771,-79.4383721079335&t=k",27,1,,
1871034.18452914,854266.98194623,40361,000050,"US70E,NC62",RAILROAD OVERPASS,RAILROAD,ALAMANCE,RAILROAD,41,131,NA,1871034.18452914,854266.98194623,-79.43651357,36.09637976,0010050,7,"Other Principal Arterial, Urban",FO,0,302,ABUTMENTS:REINFORCED CONCRETE CELLULAR,REINFORCED CONCRETE DECK ON I-BEAMS,99,99,2,,"http://maps.google.com/maps?q=36.0963797551454,-79.4365135722954&z=20&ll=36.0963797551454,-79.4365135722954&t=k",27,1,,
1860901.77730055,860133.864241317,40362,000108,"NC87,NC100",RAILROAD OVERPASS,RAILROAD,ALAMANCE,RAILROAD,150,170,NA,1860901.77730055,860133.86424132,-79.47090267,36.11236849,0010108,7,"Other Principal Arterial, Urban",FO,1,310,ABUTMENTS:REINFORCED CONCRETE POST & BEAM W/RC BACKWALLS,STEEL THROUGH TRUSS,99,99,2,,"http://maps.google.com/maps?q=36.1123684927652,-79.4709026661438&z=20&ll=36.1123684927652,-79.4709026661438&t=k",27,1,,
1890588.25532906,851044.11503239,40363,000116,NC49,RAILROAD OVERPASS,RAILROAD,ALAMANCE,RAILROAD,87,20,NA,1890588.25532906,851044.11503239,-79.37028844,36.08774496,0010116,7,"Minor Arterial, Urban",FO,3,302,"END BTS & INT.BT(:APP):TIMBER CAP & PILE, INT.BT(MAIN):RCSP","APPROACH:TIMBER JOISTS, MAIN:STEEL PLATE GIRDERS",99,99,2,,"http://maps.google.com/maps?q=36.0877449589815,-79.3702884379799&z=20&ll=36.0877449589815,-79.3702884379799&t=k",27,1,,
1872492.9617953,852205.862052724,40370,000337,SR1363,SOUTHERN RR,RAILROAD,ALAMANCE,RAILROAD,217,127,NA,1872492.9617953,852205.86205272,-79.43154575,36.09073548,0010337,7,"Local, Urban",FO,1,302,"EBTS:RC CAP & STEEL PILES, INT.BTS:RC POST & BEAM, PILE FOOTINGS",REINFORCED CONCRETE DECK ON I-BEAMS & PLATE GIRDERS,99,99,2,,"http://maps.google.com/maps?q=36.090735480892,-79.4315457507149&z=20&ll=36.090735480892,-79.4315457507149&t=k",27,1,,
1732130.51089346,432855.175165221,40424,030037,NC145,S.C.L. RR.,RAILROAD,ANSON,RAILROAD,74,164,NA,1732130.51089346,432855.17516522,-79.8938027,34.936033,0040037,10,"Major Collector, Rural",FO,1,302,"END BENTS:RC SPILL THROUGH,INTERIOR BENTS:RC SOLID PIER",REINFORCED CONCRETE DECK ON I-BEAMS,99,99,2,,"http://maps.google.com/maps?q=34.9360329981638,-79.893802697808&z=20&ll=34.9360329981638,-79.893802697808&t=k",27,1,,
1673634.30898847,449736.773947895,40425,030038,SR1472,S.C.L.RR,RAILROAD,ANSON,RAILROAD,112,15,NA,1673634.30898847,449736.77394789,-80.08959152,34.98081153,0040038,10,"Other Principal Arterial, Urban",FO,2,302,ABUTMENTS:REINFORCED CONCRETE FULL HEIGHT,REINFORCED CONCRETE DECK ON CONCRETE ENCASED I-BEAMS,99,99,2,,"http://maps.google.com/maps?q=34.9808115296046,-80.0895915151301&z=20&ll=34.9808115296046,-80.0895915151301&t=k",27,1,,
950957.653950974,648106.117037818,40480,100054,US25,SOUTHERN RR,RAILROAD,BUNCOMBE,RAILROAD,89,179,NA,950957.65395097,648106.11703782,-82.52447394,35.47961048,0110054,13,"Other Principal Arterial, Urban",FO,2,302,"REINFORCED CONCRETE ABUTMENTS;BTS:SOLID PIERS/PILES",REINFORCED CONCRETE DECK ON I-BMS&STL.PL.GDRS.,99,99,2,,"http://maps.google.com/maps?q=35.4796104774366,-82.5244739427384&z=20&ll=35.4796104774366,-82.5244739427384&t=k",27,1,,
952957.639124215,673454.426249221,40488,100092,US25A,SOUTHERN RR,RAILROAD,BUNCOMBE,RAILROAD,70,25,NA,952957.63912421,673454.42624922,-82.52077939,35.5494063,0110092,13,"Minor Arterial, Urban",FO,6,402,"E.BTS:RC CAPS/H-PILES;INT.BTS:DRILLED SHAFT PIERS",RENIF.CONC.FLR/CONT.STR.STL.PL.GDRS.,99,99,2,,"http://maps.google.com/maps?q=35.5494062998537,-82.520779390482&z=20&ll=35.5494062998537,-82.520779390482&t=k",27,1,,
