Year Assigned,Month Assigned,Assignment Type,Structure Number,Structure Type,Parallel Structure,County,Division,Structure Length,Deck Width,Deck Condition,Superstructure Condition,Substructure Condition,Culvert Condition,Year Built,Year Reconstructed,Latitude,Longitude,Google Maps Url,Superstructure,Substructure,Feature Carried,Feature Intersected
2025,12,State,850012,BRIDGE,,SURRY,11,133,30.2,7,7,8,,2019,,36.33050163,-80.77158989,"http://maps.google.com/maps?q=36.3305016266218,-80.7715898918255&z=20&ll=36.3305016266218,-80.7715898918255&t=k",PRECAST PRESTRESSED CONCRETE BOX BEAMS AND CORED SLABS,"E.BTS: RC CAPS/H-PILES@ 8'-3"" CENTERS; ITN. BT1: RC CAPS/RC DRILLED SHAFT PIER",SR1122,SNOW CREEK
2025,12,State,850023,BRIDGE,,SURRY,11,62,29.2,6,6,5,,1960,1981,36.3729535,-80.93053866,"http://maps.google.com/maps?q=36.3729535031618,-80.9305386577084&z=20&ll=36.3729535031618,-80.9305386577084&t=k",STEEL PLANK FLOOR ON I-BEAMS,ABUTS:REINF.CONC.;INT.BT:STEEL CAPS/H-PILES ENC.CONCRETE,SR1328,SOUTH FORK MITCHELL RIVER
2025,12,State,850040,BRIDGE,,SURRY,11,180,65.6,6,7,6,,2004,,36.27593425,-80.83961477,"http://maps.google.com/maps?q=36.2759342503193,-80.8396147725348&z=20&ll=36.2759342503193,-80.8396147725348&t=k",REINFORCED CONCRETE FLOOR ON PPC GIRDERS (CONT.),E.BTS:RC CAPS/H-PILES;INT.BTS:RC DRILLED SHAFT PIER,NC268 BYP,US21 BYP
2025,12,State,850041,BRIDGE,,SURRY,11,211,50,5,5,5,,1968,,36.3919334,-80.7053194,"http://maps.google.com/maps?q=36.3919334026904,-80.705319402963&z=20&ll=36.3919334026904,-80.705319402963&t=k",REINFORCED CONCRETE FLOOR ON PRESTRESSED CONCRETE GIRDERS,E.BTS:RC CAPS/H-PILES;INT.BTS:RC POST & BEAMS,SR1100,US601 BYP
2025,12,State,850049,BRIDGE,,SURRY,11,302,42,5,7,5,,1974,,36.26442971,-80.82559327,"http://maps.google.com/maps?q=36.2644297113889,-80.8255932673018&z=20&ll=36.2644297113889,-80.8255932673018&t=k",REINFORCED CONCRETE FLOOR ON I-BEAMS & STEEL PLATE GIRDERS,E.BTS:REINF.CONC.CAPS/H-PILES;INT.BTS:RC P&B/PILE FTGS.,I-77 SBL,US21
2025,12,State,850056,BRIDGE,,SURRY,11,187,33.1,6,7,6,,1993,,36.41852185,-80.71265855,"http://maps.google.com/maps?q=36.4185218461119,-80.7126585492211&z=20&ll=36.4185218461119,-80.7126585492211&t=k",RC FLOOR ON PPC GIRDER(S.I.P.METAL FORMS),E.BTS:RC CAPS/H-PILES;INT.BTS:RC POST&BEAMS,SR1345,FISHER RIVER
2025,12,State,850073,BRIDGE,R,SURRY,11,131,42,6,7,6,,1975,,36.48543706,-80.74700657,"http://maps.google.com/maps?q=36.4854370586868,-80.7470065736216&z=20&ll=36.4854370586868,-80.7470065736216&t=k",REINFORCED CONCRETE FLOOR ON CONTINUOUS I-BEAMS,E.BTS:RC CAPS/H-PILES;INT.BTS:RCP&B;BT2/PILE FTGS.,NC89 EBL,LITTLE FISHER RIVER
2025,12,State,850076,BRIDGE,L,SURRY,11,125,42,6,7,6,,1975,,36.48558916,-80.7471636,"http://maps.google.com/maps?q=36.4855891592853,-80.7471635975791&z=20&ll=36.4855891592853,-80.7471635975791&t=k",REINFORCED CONCRETE FLOOR ON CONTINUOUS I-BEAMS,E.BTS:RC CAPS/H-PILES;INT.BTS:RCP&B/PILE FTGS.,NC89 WBL,LITTLE FISHER RIVER
2025,12,State,850120,BRIDGE,,SURRY,11,356,32,6,6,5,,1974,,36.30130128,-80.80903767,"http://maps.google.com/maps?q=36.3013012798212,-80.8090376650919&z=20&ll=36.3013012798212,-80.8090376650919&t=k",REINFORCED CONCRETE FLOOR ON I-BEAMS+H & CONT.PLATE GIRDERS,E.BTS:RC CAPS/H-PILES;INT.BTS:RC P&B/PILE FTG.,SR1131,I-77
2025,12,State,850147,BRIDGE,,SURRY,11,355,32,6,7,6,,1974,,36.32365346,-80.79564454,"http://maps.google.com/maps?q=36.3236534620356,-80.7956445441366&z=20&ll=36.3236534620356,-80.7956445441366&t=k",REINFORCED CONCRETE FLOOR/I-BMS+H&CONT.STEEL PLATE GDRS.,E.BTS:REINF.CONC.CAPS/H-PILES;INT.BTS:RC P&B/PILE FTGS.,SR1121,I-77
2025,12,State,850149,BRIDGE,R,SURRY,11,124,42,5,7,6,,1974,,36.33487417,-80.79379278,"http://maps.google.com/maps?q=36.3348741671035,-80.7937927829823&z=20&ll=36.3348741671035,-80.7937927829823&t=k",REINF.CONCRETE FLOOR ON CONT.PRESTRESSED CONCRETE GIRDERS,E.BTS:RC CAPS/H-PILES;INT.BTS:RC P&B/PILE FTGS.,I-77 NBL,SR1129
2025,12,State,850154,BRIDGE,L,SURRY,11,124,42,5,7,6,,1974,,36.33477105,-80.79433485,"http://maps.google.com/maps?q=36.3347710517118,-80.7943348503958&z=20&ll=36.3347710517118,-80.7943348503958&t=k",REINF.CONCRETE FLOOR ON CONT.PRESTRESSED CONCRETE GIRDERS,E.BTS:RC CAPS/H-PILES;INT.BTS:RC P&B/PILE FTGS.,I-77 SBL,SR1129
2025,12,State,850167,BRIDGE,,SURRY,11,262,32,6,7,6,,1974,,36.3630029,-80.79785611,"http://maps.google.com/maps?q=36.3630028971406,-80.7978561083869&z=20&ll=36.3630028971406,-80.7978561083869&t=k",REINFORCED CONCRETE FLOOR ON I-BMS+H&CONT.STL.PL.GDRS.,E.BTS:RC CAPS/H-PILES;INT.BTS:RC POST&BEAM/PILE FTGS.,SR1122,I-77
2025,12,State,850168,BRIDGE,,SURRY,11,252,62,6,6,6,,1975,,36.39459022,-80.78728064,"http://maps.google.com/maps?q=36.3945902195111,-80.7872806362475&z=20&ll=36.3945902195111,-80.7872806362475&t=k",REINFORCED CONCRETE FLOOR ON HAUNCHED I-BEAMS+STL.GIRDERS,E.BTS:RC CAPS/H-PILES;INT.BTS:RCP&BEAM/PILE FTGS.,SR1001,I-77
2025,12,State,850170,BRIDGE,,SURRY,11,306,32,6,7,6,,1975,,36.42387955,-80.77633036,"http://maps.google.com/maps?q=36.4238795480049,-80.7763303617766&z=20&ll=36.4238795480049,-80.7763303617766&t=k",REINFORCED CONCRETE FLOOR ON CONTINUOUS I-BEAMS,E.BTS:RC CAPS/H-PILES;INT.BTS:RC POST&BEAM/PILE FTGS.,SR1341,I-77
2025,12,State,850187,BRIDGE,,SURRY,11,375,36,5,7,6,,1975,,36.46037869,-80.76645492,"http://maps.google.com/maps?q=36.4603786865807,-80.7664549219758&z=20&ll=36.4603786865807,-80.7664549219758&t=k",RC FLOOR ON I-BMS&CONT.PLATE GIRDERS;APP SLABS,E.BTS:RC CAPS/H-PILES;INT.BTS:RC P&B/PILE FTGS.,SR1345,I-77
2025,12,State,850196,BRIDGE,,SURRY,11,298,32,6,7,6,,1975,,36.47833561,-80.75266915,"http://maps.google.com/maps?q=36.4783356115454,-80.7526691451305&z=20&ll=36.4783356115454,-80.7526691451305&t=k",REINF.CONC.FLOOR ON I-BMS+H&CONTINUOUS STL.PLATE GIRDERS,E.BTS:RC CAPS/H-PILES;INT.BTS:RCP&BEAM/PILE FTGS.,SR1397,I-77
