Year Assigned,Month Assigned,Assignment Type,Structure Number,Structure Type,Parallel Structure,County,Division,Structure Length,Deck Width,Deck Condition,Superstructure Condition,Substructure Condition,Culvert Condition,Year Built,Year Reconstructed,Latitude,Longitude,Google Maps Url,Superstructure,Substructure,Feature Carried,Feature Intersected
2024,1,"State","180187","PIPE","","CHATHAM",8,23.07,48,,,,6,1976,,35.64755784,-79.45131431,"http://maps.google.com/maps?q=35.6475578449774,-79.4513143106366&z=20&ll=35.6475578449774,-79.4513143106366&t=k","2 LINES OF 114 CM PIPE,48'0 ALONG CENTERLINE OF PIPE","CONCRETE HEADWALLS & WINGWALLS","SR1136","TICK CREEK"
2024,1,"State","180246","CULVERT","","CHATHAM",8,28,44,,,,7,2000,,35.63834896,-79.52159892,"http://maps.google.com/maps?q=35.6383489600047,-79.5215989246132&z=20&ll=35.6383489600047,-79.5215989246132&t=k","SINGLE 28'X8' PRECAST CONCRETE CROWNSPAN, 44'0"" ALONG CENTERLINE OF CULVERT","","SR1100","BRANCH OF LITTLE BRUSH CK"
2024,1,"State","180418","BRIDGE","","CHATHAM",8,659,34.6,6,7,6,,1928,1995,35.61785741,-79.0907132,"http://maps.google.com/maps?q=35.6178574097861,-79.0907132009825&z=20&ll=35.6178574097861,-79.0907132009825&t=k","RC DECK ON PRECAST PRESTRESSED CONCRETE GIRDERS, SIP FORMS, APPROACH SLABS","END BENTS:RC CAP & STEEL PILES, INT.BENTS#1-5,10&11:RC POST & WEB, INT.BENTS#6-9:RC SOLID PIERS","SR1011","DEEP RIVER"
2024,1,"State","180459","CULVERT","","CHATHAM",8,31.42,41,,,,7,1953,,35.53872464,-79.38365002,"http://maps.google.com/maps?q=35.5387246421044,-79.3836500194476&z=20&ll=35.5387246421044,-79.3836500194476&t=k","TRIPLE 10'X13' RC BOX CULVERT,41'0"" ALONG CENTERLINE OF CULVERT","","SR1009","LITTLE INDIAN CREEK"
2024,1,"State","180460","CULVERT","","CHATHAM",8,21.33,73.17,,,,6,1953,,35.5388381,-79.4125393,"http://maps.google.com/maps?q=35.5388381029463,-79.4125393042309&z=20&ll=35.5388381029463,-79.4125393042309&t=k","DOUBLE 9'X9' RC BOX CULVERT; 73'-2"" ALONG CENTERLINE OF CULVERT","","SR2303","LITTLE INDIAN CREEK"
2024,1,"State","180478","BRIDGE","R","CHATHAM",8,391,41.1,6,7,7,,1997,,35.63210506,-79.06101515,"http://maps.google.com/maps?q=35.6321050601057,-79.0610151508458&z=20&ll=35.6321050601057,-79.0610151508458&t=k","RC DECK ON CONTINUOUS PPC GIRDERS AND PPC DECK PANELS","E.BTS: RC CAP & STEEL PILES, INT.BTS:RC CAP ON DRILLED PIERS","US1N","HAW RIVER"
2024,1,"State","390006","BRIDGE","","GREENE",2,350,36.6,5,6,6,,1951,,35.45692688,-77.66998716,"http://maps.google.com/maps?q=35.4569268764197,-77.6699871586333&z=20&ll=35.4569268764197,-77.6699871586333&t=k","RC FLOOR ON REINFORCED CONCRETE DECK GIRDERS","EBTS:RC CAPS ON TIMBER PILES;BTS:RCP&BEAM ON PILE FTGS","US258","CONTENTNEA CREEK"
2024,1,"State","390020","BRIDGE","","GREENE",2,341,46.7,6,7,6,,1973,,35.45849473,-77.67540061,"http://maps.google.com/maps?q=35.4584947290839,-77.6754006091996&z=20&ll=35.4584947290839,-77.6754006091996&t=k","RC DECK ON PPC GIRDERS","EBTS & INT. BTS:RC CAPS ON PPC PILES","US13, NC903","CONTENTNEA CREEK"
2024,1,"State","390038","BRIDGE","","GREENE",2,332,31.5,6,6,5,,1955,,35.41322662,-77.49787293,"http://maps.google.com/maps?q=35.4132266197078,-77.497872926081&z=20&ll=35.4132266197078,-77.497872926081&t=k","RC DECK ON I-BEAMS","EBTS:RC CAP/STL.PLS;IBTS:RC CAP/STL&RCPILES & RC PIER","SR1004","CONTENTNEA CREEK"
2024,1,"State","390048","BRIDGE","","GREENE",2,100,33,8,8,6,,2012,,35.38625674,-77.56521798,"http://maps.google.com/maps?q=35.3862567449987,-77.5652179769484&z=20&ll=35.3862567449987,-77.5652179769484&t=k","PRECAST PRESTRESSED CONCRETE CORED SLAB, APPROACH SLABS","EBTS: RC CAPS/.H-PILES;  IBTS: RC CAP/24 IN.DIA. GALV.STL.PIPE PILES","SR1432","WHEAT SWAMP CREEK"
2024,1,"State","390049","BRIDGE","","GREENE",2,92,30,7,7,6,,2005,,35.37895055,-77.58556304,"http://maps.google.com/maps?q=35.3789505531799,-77.5855630428854&z=20&ll=35.3789505531799,-77.5855630428854&t=k","PPC CORED SLAB","E.BTS&BTS:PPC CAPS/H-PILES","SR1434","WHEAT SWAMP CREEK"
2024,1,"State","390050","BRIDGE","","GREENE",2,225,35.2,6,7,7,,2001,,35.45652163,-77.48551806,"http://maps.google.com/maps?q=35.4565216316288,-77.4855180600921&z=20&ll=35.4565216316288,-77.4855180600921&t=k","RC DECK ON PRESTRESSED CONCRETE GIRDERS; SIP METAL FORMS; APPROACH SLABS","EBTS:RC CAPS/H-PILES; IBTS:RC POST & BEAM/H-PILE FTGS.","NC903","LITTLE CONTENTNEA CREEK"
2024,1,"State","390058","BRIDGE","","GREENE",2,72,30.3,7,7,6,,2000,,35.43258542,-77.54354784,"http://maps.google.com/maps?q=35.4325854175255,-77.5435478444914&z=20&ll=35.4325854175255,-77.5435478444914&t=k","PPC CORED SLAB","E.BTS&BT:PPC CAPS/H-PILES","SR1411","POLECAT BRANCH"
2024,2,"State","130003","BRIDGE","","CALDWELL",11,120,27.2,7,8,7,,2008,,36.00138415,-81.77488164,"http://maps.google.com/maps?q=36.0013841491782,-81.7748816380919&z=20&ll=36.0013841491782,-81.7748816380919&t=k","RC FLOOR ON STEEL PLATE GIRDERS (S.I.P. METAL FORMS)","E.BTS:RC CAPS/ H-PILES @ 4`-4"" CENTERS","NC90","LOST COVE CREEK"
2024,2,"State","130004","BRIDGE","","CALDWELL",11,221,15.3,5,5,5,,1936,,35.99808525,-81.76852297,"http://maps.google.com/maps?q=35.9980852514343,-81.768522972654&z=20&ll=35.9980852514343,-81.768522972654&t=k","REINFORCED CONCRETE ARCH SLAB","ABUTS&INT.PIERS:REINFORCED CONCRETE","NC90","WILSON CREEK"
2024,2,"State","130008","BRIDGE","","CALDWELL",11,120,33.4,6,5,6,,1965,2013,35.8481558,-81.61691673,"http://maps.google.com/maps?q=35.8481557989275,-81.6169167331803&z=20&ll=35.8481557989275,-81.6169167331803&t=k","REINFORCED CONCRETE FLOOR ON I-BEAMS (LATEX MODIFIED CONC. OVERLAY)","E.BTS.&INT.BTS:RC CAPS/H-PILES;INT.BTS:ENCASED IN CONC.","US64,NC18","HUSBAND CREEK"
2024,2,"State","130012","BRIDGE","","CALDWELL",11,172,50.5,5,5,5,,1953,1972,35.80007429,-81.42407703,"http://maps.google.com/maps?q=35.8000742943386,-81.4240770270471&z=20&ll=35.8000742943386,-81.4240770270471&t=k","RC FLOOR ON RCDG & PPC GIRDERS (SPAN 4)","E.BTS:RC CAPS/H-PILES;INT.BTS:RC POST&BEAM","SR1107","US321"
2024,2,"State","130013","BRIDGE","R","CALDWELL",11,135,42.5,7,6,5,,1969,2013,35.80676525,-81.42858026,"http://maps.google.com/maps?q=35.8067652517482,-81.4285802620636&z=20&ll=35.8067652517482,-81.4285802620636&t=k","RC FLOOR ON PRESTR. CONCRETE GIRDERS (1 1/2"" LATEX MOD.CONC, OVERLAY)","E.BTS:RC CAPS/PPC PILES;INT.BTS:RC P&BEAM/PILE FTGS.","US321 NBL","SR1002"
2024,2,"State","130014","BRIDGE","L","CALDWELL",11,135,33.3,7,5,5,,1953,2013,35.80659392,-81.42870247,"http://maps.google.com/maps?q=35.8065939180977,-81.4287024682571&z=20&ll=35.8065939180977,-81.4287024682571&t=k","RC FLOOR ON PRESTR. CONCRETE GIRDERS (1 1/2"" LATEX MOD.CONCRETE OVERLAY)","E.BTS:RC CAPS/H-PILES;INT.BTS:RC POST&BEAM","US321 SBL","SR1002"
2024,2,"State","130017","BRIDGE","","CALDWELL",11,19,20,7,6,5,,1962,1984,35.96802009,-81.60298863,"http://maps.google.com/maps?q=35.9680200860943,-81.6029886259818&z=20&ll=35.9680200860943,-81.6029886259818&t=k","TIMBER FLOOR ON I-BEAMS","E.BTS:TIM.CAPS/TIM.P&S/CONC.FTG;E.BT.2/DBL.TIM.SILLS","SR1350","LOVING BRANCH"
2024,2,"State","130018","PIPE","","CALDWELL",11,35,62,,,,6,1983,,35.93046829,-81.68366951,"http://maps.google.com/maps?q=35.9304682913805,-81.6836695070655&z=20&ll=35.9304682913805,-81.6836695070655&t=k","3 LINES 108 CM PIPE;61.82' ALONG CENTERLINE PIPE","","NC90","FRANKLIN BRANCH"
2024,2,"State","130023","BRIDGE","","CALDWELL",11,112,25.1,6,7,6,,1991,,35.95899204,-81.62451025,"http://maps.google.com/maps?q=35.9589920424973,-81.6245102489654&z=20&ll=35.9589920424973,-81.6245102489654&t=k","STEEL PLANK FLOOR ON I-BEAMS (BMD 29)","E.BTS.& INT.BTS:STEEL CAPS/H-PILES","SR1354","MULBERRY CREEK"
