Structure Number,Month Assigned,Year Assigned,Assignment Type
"180187",1,2024,"State"
"180246",1,2024,"State"
"180418",1,2024,"State"
"180459",1,2024,"State"
"180460",1,2024,"State"
"180478",1,2024,"State"
"390006",1,2024,"State"
"390020",1,2024,"State"
"390038",1,2024,"State"
"390048",1,2024,"State"
"390049",1,2024,"State"
"390050",1,2024,"State"
"390058",1,2024,"State"
"130003",2,2024,"State"
"130004",2,2024,"State"
"130008",2,2024,"State"
"130012",2,2024,"State"
"130013",2,2024,"State"
"130014",2,2024,"State"
"130017",2,2024,"State"
"130018",2,2024,"State"
"130023",2,2024,"State"
"130024",2,2024,"State"
"130025",2,2024,"State"
"130033",2,2024,"State"
"130077",2,2024,"State"
"130084",2,2024,"State"
"130086",2,2024,"State"
"130090",2,2024,"State"
"130091",2,2024,"State"
"130110",2,2024,"State"
"130157",2,2024,"State"
"130161",2,2024,"State"
"730094",3,2024,"Municipal"
"730096",3,2024,"Municipal"
"730097",3,2024,"Municipal"
"730099",3,2024,"Municipal"
"730419",3,2024,"Municipal"
"730421",3,2024,"Municipal"
"730435",3,2024,"Municipal"
"730466",3,2024,"Municipal"
"730469",3,2024,"Municipal"
"380055",3,2024,"State"
"380056",3,2024,"State"
"420001",3,2024,"State"
"420032",3,2024,"State"
"420033",3,2024,"State"
"420047",3,2024,"State"
"420062",3,2024,"State"
"420094",3,2024,"State"
"420096",3,2024,"State"
"530105",3,2024,"State"
"530124",3,2024,"State"
"530175",3,2024,"State"
"530176",3,2024,"State"
"530177",3,2024,"State"
"530178",3,2024,"State"
"570028",3,2024,"State"
"570118",3,2024,"State"
"810188",3,2024,"State"
"815194",3,2024,"State"
"660010",4,2024,"State"
"660025",4,2024,"State"
"660030",4,2024,"State"
"660048",4,2024,"State"
"660077",4,2024,"State"
"660258",4,2024,"State"
"660259",4,2024,"State"
"660260",4,2024,"State"
"280073",5,2024,"State"
"280084",5,2024,"State"
"280099",5,2024,"State"
"280101",5,2024,"State"
"280123",5,2024,"State"
"280149",5,2024,"State"
"280154",5,2024,"State"
"280157",5,2024,"State"
"280170",5,2024,"State"
"280171",5,2024,"State"
"280370",5,2024,"State"
"280526",5,2024,"State"
"280527",5,2024,"State"
"280528",5,2024,"State"
"280531",5,2024,"State"
"280532",5,2024,"State"
"280533",5,2024,"State"
"280534",5,2024,"State"
"280535",5,2024,"State"
"030041",6,2024,"Municipal"
"030042",6,2024,"Municipal"
"030088",6,2024,"Municipal"
"030090",6,2024,"Municipal"
"030316",6,2024,"Municipal"
"120003",6,2024,"State"
"120129",6,2024,"State"
"830037",6,2024,"State"
"830213",6,2024,"State"
"830267",6,2024,"State"
"830282",6,2024,"State"
"890491",6,2024,"State"
"890492",6,2024,"State"
"890499",6,2024,"State"
"890500",6,2024,"State"
"890501",6,2024,"State"
"890502",6,2024,"State"
"890507",6,2024,"State"
"890508",6,2024,"State"
"890511",6,2024,"State"
"890512",6,2024,"State"
"890550",6,2024,"State"
"890551",6,2024,"State"
"910003",7,2024,"State"
"910007",7,2024,"State"
"910010",7,2024,"State"
"910011",7,2024,"State"
"910018",7,2024,"State"
"910031",7,2024,"State"
"910097",7,2024,"State"
"910114",7,2024,"State"
"910119",7,2024,"State"
"910128",7,2024,"State"
"910129",7,2024,"State"
"000060",8,2024,"State"
"000094",8,2024,"State"
"400609",8,2024,"State"
"400613",8,2024,"State"
"400616",8,2024,"State"
"400757",8,2024,"State"
"400758",8,2024,"State"
"400759",8,2024,"State"
"400760",8,2024,"State"
"400761",8,2024,"State"
"400762",8,2024,"State"
"400766",8,2024,"State"
"400767",8,2024,"State"
"401117",8,2024,"State"
"401144",8,2024,"State"
"401440",8,2024,"State"
"550002",9,2024,"State"
"550003",9,2024,"State"
"550004",9,2024,"State"
"550007",9,2024,"State"
"550016",9,2024,"State"
"550022",9,2024,"State"
"550024",9,2024,"State"
"550031",9,2024,"State"
"550033",9,2024,"State"
"550034",9,2024,"State"
"550035",9,2024,"State"
"550036",9,2024,"State"
"550037",9,2024,"State"
"550054",9,2024,"State"
"550055",9,2024,"State"
"550056",9,2024,"State"
"550057",9,2024,"State"
"550061",9,2024,"State"
"550235",9,2024,"State"
"550240",9,2024,"State"
"550324",9,2024,"State"
"550326",9,2024,"State"
"550327",9,2024,"State"
"550361",9,2024,"State"
"550362",9,2024,"State"
"030012",10,2024,"State"
"030039",10,2024,"State"
"030045",10,2024,"State"
"030056",10,2024,"State"
"030067",10,2024,"State"
"030071",10,2024,"State"
"030076",10,2024,"State"
"030084",10,2024,"State"
"030130",10,2024,"State"
"030163",10,2024,"State"
"030232",10,2024,"State"
"030313",10,2024,"State"
"120389",10,2024,"State"
"120392",10,2024,"State"
"610128",10,2024,"State"
"610145",10,2024,"State"
"620019",10,2024,"State"
"620061",10,2024,"State"
"910015",11,2024,"State"
"910039",11,2024,"State"
"910044",11,2024,"State"
"910045",11,2024,"State"
"910060",11,2024,"State"
"910063",11,2024,"State"
"910074",11,2024,"State"
"910085",11,2024,"State"
"910090",11,2024,"State"
"910095",11,2024,"State"
"910096",11,2024,"State"
"910102",11,2024,"State"
"910110",11,2024,"State"
"910112",11,2024,"State"
"910113",11,2024,"State"
"910203",11,2024,"State"
"910561",11,2024,"State"
"910650",11,2024,"State"
"910941",11,2024,"State"
"911507",11,2024,"State"
"911627",11,2024,"State"
"911628",11,2024,"State"
"220012",12,2024,"State"
"220027",12,2024,"State"
"220033",12,2024,"State"
"220036",12,2024,"State"
"220040",12,2024,"State"
"220041",12,2024,"State"
"220044",12,2024,"State"
"220048",12,2024,"State"
"220049",12,2024,"State"
"220059",12,2024,"State"
"220060",12,2024,"State"
"220081",12,2024,"State"
"220083",12,2024,"State"
"220084",12,2024,"State"
"220085",12,2024,"State"
"220091",12,2024,"State"
"220113",12,2024,"State"
"220142",12,2024,"State"
"220144",12,2024,"State"
"220167",12,2024,"State"
"650002",1,2025,"State"
"650006",1,2025,"State"
"650009",1,2025,"State"
"650011",1,2025,"State"
"650017",1,2025,"State"
"650044",1,2025,"State"
"650065",1,2025,"State"
"650081",1,2025,"State"
"180065",2,2025,"State"
"180084",2,2025,"State"
"180150",2,2025,"State"
"180229",2,2025,"State"
"180247",2,2025,"State"
"180370",2,2025,"State"
"180395",2,2025,"State"
"180398",2,2025,"State"
"250490",2,2025,"State"
"250491",2,2025,"State"
"250494",2,2025,"State"
"250495",2,2025,"State"
"250496",2,2025,"State"
"250497",2,2025,"State"
"420002",2,2025,"State"
"420003",2,2025,"State"
"420022",2,2025,"State"
"420023",2,2025,"State"
"420029",2,2025,"State"
"420041",2,2025,"State"
"420045",2,2025,"State"
"420052",2,2025,"State"
"420059",2,2025,"State"
"420078",2,2025,"State"
"420080",2,2025,"State"
"420085",2,2025,"State"
"420106",2,2025,"State"
"420128",2,2025,"State"
"020304",3,2025,"State"
"040115",3,2025,"State"
"040156",3,2025,"State"
"040537",3,2025,"State"
"940142",3,2025,"State"
"940168",3,2025,"State"
"940261",3,2025,"State"
"960007",3,2025,"State"
"960018",3,2025,"State"
"960019",3,2025,"State"
"960021",3,2025,"State"
"960103",3,2025,"State"
"960201",3,2025,"State"
"960205",3,2025,"State"
"960212",3,2025,"State"
"960693",3,2025,"State"
"960711",3,2025,"State"
"960714",3,2025,"State"
"960721",3,2025,"State"
"960760",3,2025,"State"
"960761",3,2025,"State"
"960762",3,2025,"State"
"980057",3,2025,"State"
"980088",3,2025,"State"
"340064",4,2025,"State"
"500023",4,2025,"State"
"500159",4,2025,"State"
"500229",4,2025,"State"
"500446",4,2025,"State"
"900015",4,2025,"State"
"910012",4,2025,"State"
"910023",4,2025,"State"
"910025",4,2025,"State"
"910130",4,2025,"State"
"910215",4,2025,"State"
"910265",4,2025,"State"
"910317",4,2025,"State"
"910338",4,2025,"State"
"910352",4,2025,"State"
"910425",4,2025,"State"
"910437",4,2025,"State"
"910438",4,2025,"State"
"910622",4,2025,"State"
"910762",4,2025,"State"
"910944",4,2025,"State"
"950025",4,2025,"State"
"950210",4,2025,"State"
"970102",4,2025,"State"
"190270",5,2025,"State"
"190271",5,2025,"State"
"190272",5,2025,"State"
"190274",5,2025,"State"
"370005",5,2025,"State"
"370015",5,2025,"State"
"370019",5,2025,"State"
"370047",5,2025,"State"
"370055",5,2025,"State"
"370060",5,2025,"State"
"370061",5,2025,"State"
"370067",5,2025,"State"
"370080",5,2025,"State"
"370130",5,2025,"State"
"370139",5,2025,"State"
"370140",5,2025,"State"
"370143",5,2025,"State"
"490027",5,2025,"State"
"490145",5,2025,"State"
"490391",5,2025,"State"
"740049",5,2025,"State"
"740208",5,2025,"State"
"740211",5,2025,"State"
"740212",5,2025,"State"
"030100",6,2025,"State"
"030150",6,2025,"State"
"030151",6,2025,"State"
"030171",6,2025,"State"
"030172",6,2025,"State"
"030173",6,2025,"State"
"030179",6,2025,"State"
"030186",6,2025,"State"
"030189",6,2025,"State"
"030218",6,2025,"State"
"030271",6,2025,"State"
"030293",6,2025,"State"
"030323",6,2025,"State"
"080010",6,2025,"State"
"080014",6,2025,"State"
"080030",6,2025,"State"
"080045",6,2025,"State"
"080199",6,2025,"State"
"080200",6,2025,"State"
"080220",6,2025,"State"
"080221",6,2025,"State"
"230053",6,2025,"State"
"230054",6,2025,"State"
"230296",6,2025,"State"
"250358",6,2025,"State"
"250384",6,2025,"State"
"250385",6,2025,"State"
"770146",6,2025,"State"
"770147",6,2025,"State"
"800004",7,2025,"State"
"800012",7,2025,"State"
"800014",7,2025,"State"
"800020",7,2025,"State"
"800025",7,2025,"State"
"800035",7,2025,"State"
"800037",7,2025,"State"
"800038",7,2025,"State"
"800040",7,2025,"State"
"800044",7,2025,"State"
"800047",7,2025,"State"
"800054",7,2025,"State"
"800071",7,2025,"State"
"800076",7,2025,"State"
"800077",7,2025,"State"
"800082",7,2025,"State"
"800087",7,2025,"State"
"800091",7,2025,"State"
"800101",7,2025,"State"
"800111",7,2025,"State"
"800112",7,2025,"State"
"800117",7,2025,"State"
"800122",7,2025,"State"
"800123",7,2025,"State"
"800156",7,2025,"State"
"310030",8,2025,"State"
"310049",8,2025,"State"
"310100",8,2025,"State"
"310188",8,2025,"State"
"310189",8,2025,"State"
"310224",8,2025,"State"
"310228",8,2025,"State"
"310301",8,2025,"State"
"310306",8,2025,"State"
"310307",8,2025,"State"
"310308",8,2025,"State"
"310340",8,2025,"State"
"310342",8,2025,"State"
"310422",8,2025,"State"
"220470",9,2025,"State"
"330432",9,2025,"State"
"330433",9,2025,"State"
"330434",9,2025,"State"
"330435",9,2025,"State"
"330454",9,2025,"State"
"330455",9,2025,"State"
"330456",9,2025,"State"
"330536",9,2025,"State"
"330549",9,2025,"State"
"330700",9,2025,"State"
"480006",9,2025,"State"
"480007",9,2025,"State"
"480051",9,2025,"State"
"480054",9,2025,"State"
"480065",9,2025,"State"
"480066",9,2025,"State"
"480072",9,2025,"State"
"480073",9,2025,"State"
"480096",9,2025,"State"
"480102",9,2025,"State"
"480104",9,2025,"State"
"480109",9,2025,"State"
"480123",9,2025,"State"
"480124",9,2025,"State"
"620048",10,2025,"State"
"620051",10,2025,"State"
"620053",10,2025,"State"
"620063",10,2025,"State"
"620064",10,2025,"State"
"620078",10,2025,"State"
"620179",10,2025,"State"
"620185",10,2025,"State"
"750012",10,2025,"State"
"750022",10,2025,"State"
"750428",10,2025,"State"
"750474",10,2025,"State"
"750478",10,2025,"State"
"750506",10,2025,"State"
"750571",10,2025,"State"
"760042",10,2025,"State"
"760046",10,2025,"State"
"760231",10,2025,"State"
"250077",11,2025,"State"
"250083",11,2025,"State"
"250099",11,2025,"State"
"250103",11,2025,"State"
"500037",11,2025,"State"
"500058",11,2025,"State"
"500059",11,2025,"State"
"500062",11,2025,"State"
"500072",11,2025,"State"
"500509",11,2025,"State"
"770104",11,2025,"State"
"770124",11,2025,"State"
"770141",11,2025,"State"
"770167",11,2025,"State"
"770420",11,2025,"State"
"775162",11,2025,"State"
"850012",12,2025,"State"
"850023",12,2025,"State"
"850040",12,2025,"State"
"850041",12,2025,"State"
"850049",12,2025,"State"
"850056",12,2025,"State"
"850073",12,2025,"State"
"850076",12,2025,"State"
"850120",12,2025,"State"
"850147",12,2025,"State"
"850149",12,2025,"State"
"850154",12,2025,"State"
"850167",12,2025,"State"
"850168",12,2025,"State"
"850170",12,2025,"State"
"850187",12,2025,"State"
"850196",12,2025,"State"
"170038",1,2026,"Municipal"
"170180",1,2026,"Municipal"
"170181",1,2026,"Municipal"
"170182",1,2026,"Municipal"
"170291",1,2026,"Municipal"
"170306",1,2026,"Municipal"
"170327",1,2026,"Municipal"
"170328",1,2026,"Municipal"
"170363",1,2026,"Municipal"
"170377",1,2026,"Municipal"
"170378",1,2026,"Municipal"
"170379",1,2026,"Municipal"
"170381",1,2026,"Municipal"
"170370",1,2026,"State"
"170371",1,2026,"State"
"540120",1,2026,"State"
"540121",1,2026,"State"
"540125",1,2026,"State"
"540126",1,2026,"State"
"540133",1,2026,"State"
"540134",1,2026,"State"
"540139",1,2026,"State"
"540154",1,2026,"State"
"540155",1,2026,"State"
"540236",1,2026,"State"
"540250",1,2026,"State"
"540251",1,2026,"State"
"540252",1,2026,"State"
"540255",1,2026,"State"
"540261",1,2026,"State"
"540262",1,2026,"State"
"540263",1,2026,"State"
"540273",1,2026,"State"
"540274",1,2026,"State"
"540275",1,2026,"State"
"540290",1,2026,"State"
"540291",1,2026,"State"
"010003",2,2026,"State"
"480001",2,2026,"State"
"480003",2,2026,"State"
"480015",2,2026,"State"
"480020",2,2026,"State"
"480022",2,2026,"State"
"480056",2,2026,"State"
"480057",2,2026,"State"
"480059",2,2026,"State"
"480062",2,2026,"State"
"480075",2,2026,"State"
"480076",2,2026,"State"
"480080",2,2026,"State"
"480089",2,2026,"State"
"480092",2,2026,"State"
"480097",2,2026,"State"
"480098",2,2026,"State"
"480110",2,2026,"State"
"480126",2,2026,"State"
"480314",2,2026,"State"
"480473",2,2026,"State"
"480504",2,2026,"State"
"480513",2,2026,"State"
"480515",2,2026,"State"
"480536",2,2026,"State"
"480548",2,2026,"State"
"180009",3,2026,"State"
"180024",3,2026,"State"
"180026",3,2026,"State"
"180035",3,2026,"State"
"180041",3,2026,"State"
"180055",3,2026,"State"
"180067",3,2026,"State"
"180257",3,2026,"State"
"180341",3,2026,"State"
"180405",3,2026,"State"
"180431",3,2026,"State"
"180483",3,2026,"State"
"180506",3,2026,"State"
"180507",3,2026,"State"
"670027",3,2026,"State"
"670034",3,2026,"State"
"670037",3,2026,"State"
"670048",3,2026,"State"
"670055",3,2026,"State"
"670057",3,2026,"State"
"670069",3,2026,"State"
"670130",3,2026,"State"
"670285",3,2026,"State"
